,assembly,BGC,cblast_score,,
1212,7,scaffold_22,,,7_scaffold_22
1213,7,scaffold_200,544,,7_scaffold_200
1214,140,scaffold_88,1358,,140_scaffold_88
1215,140,scaffold_350,,,140_scaffold_350
1216,140,scaffold_299,,,140_scaffold_299
1217,140,scaffold_183,,,140_scaffold_183
1218,140,scaffold_107,,,140_scaffold_107
1219,140,scaffold_213,,,140_scaffold_213
1220,140,scaffold_23,691,,140_scaffold_23
1221,140,scaffold_1,2213,,140_scaffold_1
1222,140,scaffold_73,,,140_scaffold_73
1223,140,scaffold_121,,,140_scaffold_121
1224,140,scaffold_3,,,140_scaffold_3
1225,48,scaffold_1911,,,48_scaffold_1911
1226,48,scaffold_1762,,,48_scaffold_1762
1227,48,scaffold_1691,1407,,48_scaffold_1691
1228,48,scaffold_1477,,,48_scaffold_1477
1229,48,scaffold_2703,1656,,48_scaffold_2703
1230,48,scaffold_1421,2157,,48_scaffold_1421
1231,48,scaffold_372,4304,,48_scaffold_372
1232,48,scaffold_426,7128,,48_scaffold_426
1233,48,scaffold_201,3389,,48_scaffold_201
1234,48,scaffold_332,580,,48_scaffold_332
1235,48,scaffold_1017,,,48_scaffold_1017
1236,48,scaffold_138,2178,,48_scaffold_138
1237,48,scaffold_1382,1433,,48_scaffold_1382
1238,48,scaffold_2153,,,48_scaffold_2153
1239,48,scaffold_123,3365,,48_scaffold_123
1240,48,scaffold_1231,,,48_scaffold_1231
1241,48,scaffold_752,1468,,48_scaffold_752
1242,48,scaffold_2722,,,48_scaffold_2722
1243,48,scaffold_3188,794,,48_scaffold_3188
1244,48,scaffold_914,,,48_scaffold_914
1245,48,scaffold_1760,,,48_scaffold_1760
1246,48,scaffold_366,,,48_scaffold_366
1247,48,scaffold_2629,1579,,48_scaffold_2629
1248,48,scaffold_1414,,,48_scaffold_1414
1249,48,scaffold_448,,,48_scaffold_448
1250,48,scaffold_1170,,,48_scaffold_1170
1251,48,scaffold_2653,1381,,48_scaffold_2653
1252,48,scaffold_663,1599,,48_scaffold_663
1253,48,scaffold_2048,,,48_scaffold_2048
1254,48,scaffold_1219,,,48_scaffold_1219
1255,48,scaffold_1197,,,48_scaffold_1197
1256,48,scaffold_2974,1254,,48_scaffold_2974
1257,48,scaffold_1468,1673,,48_scaffold_1468
1258,48,scaffold_3120,,,48_scaffold_3120
1259,48,scaffold_22,6164,,48_scaffold_22
1260,48,scaffold_79,,,48_scaffold_79
1261,48,scaffold_1537,,,48_scaffold_1537
1262,48,scaffold_1679,645,,48_scaffold_1679
1263,48,scaffold_673,1471,,48_scaffold_673
1264,48,scaffold_127,2402,,48_scaffold_127
1265,48,scaffold_740,1014,,48_scaffold_740
1266,48,scaffold_1048,,,48_scaffold_1048
1267,48,scaffold_1807,,,48_scaffold_1807
1268,48,scaffold_606,2228,,48_scaffold_606
1269,48,scaffold_41,2400,,48_scaffold_41
1270,48,scaffold_192,2774,,48_scaffold_192
1271,48,scaffold_738,,,48_scaffold_738
1272,48,scaffold_4,,,48_scaffold_4
1273,48,scaffold_1216,,,48_scaffold_1216
1274,48,scaffold_967,3634,,48_scaffold_967
1275,48,scaffold_1174,,,48_scaffold_1174
1276,48,scaffold_759,1406,,48_scaffold_759
1277,48,scaffold_931,981,,48_scaffold_931
1278,48,scaffold_1179,1319,,48_scaffold_1179
1279,48,scaffold_380,,,48_scaffold_380
1280,48,scaffold_1560,1918,,48_scaffold_1560
1281,48,scaffold_1923,,,48_scaffold_1923
1282,48,scaffold_624,4166,,48_scaffold_624
1283,48,scaffold_2100,,,48_scaffold_2100
1284,48,scaffold_3234,,,48_scaffold_3234
1285,48,scaffold_1366,1478,,48_scaffold_1366
1286,48,scaffold_1472,,,48_scaffold_1472
1287,48,scaffold_204,,,48_scaffold_204
1288,48,scaffold_2234,,,48_scaffold_2234
1289,48,scaffold_550,3313,,48_scaffold_550
1290,48,scaffold_510,1134,,48_scaffold_510
1291,48,scaffold_99,3239,,48_scaffold_99
1292,48,scaffold_836,3528,,48_scaffold_836
1293,48,scaffold_59,213,,48_scaffold_59
1294,48,scaffold_1539,,,48_scaffold_1539
1295,48,scaffold_1579,,,48_scaffold_1579
1296,48,scaffold_966,1512,,48_scaffold_966
1297,48,scaffold_2725,,,48_scaffold_2725
1298,48,scaffold_815,3285,,48_scaffold_815
1299,48,scaffold_169,2839,,48_scaffold_169
1300,48,scaffold_129,4385,,48_scaffold_129
1301,48,scaffold_314,242,,48_scaffold_314
1302,48,scaffold_2709,,,48_scaffold_2709
1303,48,scaffold_3123,,,48_scaffold_3123
1304,48,scaffold_3138,802,,48_scaffold_3138
1305,48,scaffold_338,5240,,48_scaffold_338
1306,48,scaffold_822,,,48_scaffold_822
1307,48,scaffold_8,2854,,48_scaffold_8
1308,48,scaffold_620,,,48_scaffold_620
1309,48,scaffold_575,602,,48_scaffold_575
1310,48,scaffold_2690,,,48_scaffold_2690
1311,48,scaffold_2878,,,48_scaffold_2878
1312,48,scaffold_2334,2696,,48_scaffold_2334
1313,48,scaffold_523,2437,,48_scaffold_523
1314,48,scaffold_676,3612,,48_scaffold_676
1315,48,scaffold_1782,2338,,48_scaffold_1782
1316,48,scaffold_745,4113,,48_scaffold_745
1317,48,scaffold_1247,,,48_scaffold_1247
1318,48,scaffold_155,4843,,48_scaffold_155
1319,48,scaffold_368,4958,,48_scaffold_368
1320,48,scaffold_941,,,48_scaffold_941
1321,48,scaffold_86,4254,,48_scaffold_86
1322,48,scaffold_829,2357,,48_scaffold_829
1323,48,scaffold_514,,,48_scaffold_514
1324,48,scaffold_46,3732,,48_scaffold_46
1325,48,scaffold_2266,361,,48_scaffold_2266
1326,48,scaffold_256,2776,,48_scaffold_256
1327,48,scaffold_864,2883,,48_scaffold_864
1328,48,scaffold_1505,,,48_scaffold_1505
1329,48,scaffold_2213,1261,,48_scaffold_2213
1330,48,scaffold_1965,928,,48_scaffold_1965
1331,48,scaffold_1498,,,48_scaffold_1498
1332,48,scaffold_983,,,48_scaffold_983
1333,48,scaffold_1150,,,48_scaffold_1150
1334,48,scaffold_903,,,48_scaffold_903
1335,48,scaffold_1360,,,48_scaffold_1360
1336,247,scaffold_634,,,247_scaffold_634
1337,247,scaffold_70,,,247_scaffold_70
1338,247,scaffold_371,,,247_scaffold_371
1339,247,scaffold_117,,,247_scaffold_117
1340,247,scaffold_3,,,247_scaffold_3
1341,247,scaffold_327,405,,247_scaffold_327
1342,247,scaffold_26,,,247_scaffold_26
1343,247,scaffold_48,4249,,247_scaffold_48
1344,247,scaffold_45,,,247_scaffold_45
1345,247,scaffold_538,,,247_scaffold_538
1346,247,scaffold_69,,,247_scaffold_69
1347,247,scaffold_365,,,247_scaffold_365
1348,247,scaffold_143,,,247_scaffold_143
1349,247,scaffold_533,540,,247_scaffold_533
1350,247,scaffold_55,,,247_scaffold_55
1351,247,scaffold_227,,,247_scaffold_227
1352,247,scaffold_437,,,247_scaffold_437
1353,247,scaffold_153,,,247_scaffold_153
1354,247,scaffold_549,,,247_scaffold_549
1355,247,scaffold_41,,,247_scaffold_41
1356,247,scaffold_36,1902,,247_scaffold_36
1357,247,scaffold_75,,,247_scaffold_75
1358,247,scaffold_35,,,247_scaffold_35
1359,247,scaffold_251,,,247_scaffold_251
1360,247,scaffold_211,,,247_scaffold_211
1361,247,scaffold_23,3644,,247_scaffold_23
1362,247,scaffold_6,2992,,247_scaffold_6
1363,247,scaffold_104,,,247_scaffold_104
1364,247,scaffold_99,,,247_scaffold_99
1365,247,scaffold_125,,,247_scaffold_125
1366,247,scaffold_4,,,247_scaffold_4
1367,247,scaffold_689,,,247_scaffold_689
1368,247,scaffold_609,,,247_scaffold_609
1369,247,scaffold_96,,,247_scaffold_96
1370,247,scaffold_167,,,247_scaffold_167
1371,247,scaffold_495,,,247_scaffold_495
1372,247,scaffold_429,621,,247_scaffold_429
1373,247,scaffold_67,,,247_scaffold_67
1374,247,scaffold_68,1321,,247_scaffold_68
1375,247,scaffold_138,1043,,247_scaffold_138
1376,247,scaffold_579,,,247_scaffold_579
1377,247,scaffold_135,,,247_scaffold_135
1378,247,scaffold_175,,,247_scaffold_175
1379,337,scaffold_967,2305,,337_scaffold_967
1380,337,scaffold_266,528,,337_scaffold_266
1381,337,scaffold_303,,,337_scaffold_303
1382,337,scaffold_25,4286,,337_scaffold_25
1383,337,scaffold_251,3422,,337_scaffold_251
1384,337,scaffold_127,3731,,337_scaffold_127
1385,337,scaffold_840,1586,,337_scaffold_840
1386,337,scaffold_968,3486,,337_scaffold_968
1387,337,scaffold_737,5107,,337_scaffold_737
1388,337,scaffold_1193,,,337_scaffold_1193
1389,337,scaffold_493,2253,,337_scaffold_493
1390,337,scaffold_520,1387,,337_scaffold_520
1391,337,scaffold_405,2090,,337_scaffold_405
1392,337,scaffold_678,3984,,337_scaffold_678
1393,337,scaffold_790,1783,,337_scaffold_790
1394,337,scaffold_239,2827,,337_scaffold_239
1395,337,scaffold_1304,2007,,337_scaffold_1304
1396,337,scaffold_177,2464,,337_scaffold_177
1397,337,scaffold_3,3581,,337_scaffold_3
1398,337,scaffold_77,1285,,337_scaffold_77
1399,337,scaffold_21,8500,,337_scaffold_21
1400,337,scaffold_491,2904,,337_scaffold_491
1401,337,scaffold_889,2310,,337_scaffold_889
1402,337,scaffold_1157,2877,,337_scaffold_1157
1403,337,scaffold_78,3426,,337_scaffold_78
1404,337,scaffold_466,5363,,337_scaffold_466
1405,337,scaffold_141,3518,,337_scaffold_141
1406,337,scaffold_120,628,,337_scaffold_120
1407,337,scaffold_449,1851,,337_scaffold_449
1408,337,scaffold_452,3816,,337_scaffold_452
1409,337,scaffold_198,1482,,337_scaffold_198
1410,337,scaffold_713,3574,,337_scaffold_713
1411,337,scaffold_3,289,,337_scaffold_3
1412,337,scaffold_261,4191,,337_scaffold_261
1413,337,scaffold_1397,,,337_scaffold_1397
1414,337,scaffold_1171,3634,,337_scaffold_1171
1415,337,scaffold_798,,,337_scaffold_798
1416,337,scaffold_1112,,,337_scaffold_1112
1417,337,scaffold_289,11452,,337_scaffold_289
1418,337,scaffold_284,6096,,337_scaffold_284
1419,337,scaffold_228,,,337_scaffold_228
1420,337,scaffold_51,1228,,337_scaffold_51
1421,35,scaffold_67,2290,,35_scaffold_67
1422,35,scaffold_646,3673,,35_scaffold_646
1423,35,scaffold_759,,,35_scaffold_759
1424,35,scaffold_761,,,35_scaffold_761
1425,35,scaffold_551,1817,,35_scaffold_551
1426,35,scaffold_684,2747,,35_scaffold_684
1427,35,scaffold_923,,,35_scaffold_923
1428,35,scaffold_447,,,35_scaffold_447
1429,35,scaffold_1226,3038,,35_scaffold_1226
1430,35,scaffold_1184,1455,,35_scaffold_1184
1431,35,scaffold_1476,,,35_scaffold_1476
1432,35,scaffold_1144,,,35_scaffold_1144
1433,35,scaffold_2080,,,35_scaffold_2080
1434,35,scaffold_1152,2374,,35_scaffold_1152
1435,35,scaffold_556,,,35_scaffold_556
1436,35,scaffold_79,4409,,35_scaffold_79
1437,35,scaffold_1232,3125,,35_scaffold_1232
1438,35,scaffold_2547,,,35_scaffold_2547
1439,35,scaffold_158,3269,,35_scaffold_158
1440,35,scaffold_1038,,,35_scaffold_1038
1441,35,scaffold_459,3864,,35_scaffold_459
1442,35,scaffold_13,5626,,35_scaffold_13
1443,35,scaffold_2562,993,,35_scaffold_2562
1444,35,scaffold_423,5569,,35_scaffold_423
1445,42,scaffold_115,,,42_scaffold_115
1446,42,scaffold_22,541,,42_scaffold_22
1447,42,scaffold_467,,,42_scaffold_467
1448,42,scaffold_118,323,,42_scaffold_118
1449,42,scaffold_657,,,42_scaffold_657
1450,42,scaffold_519,,,42_scaffold_519
1451,42,scaffold_83,2404,,42_scaffold_83
1452,42,scaffold_139,3786,,42_scaffold_139
1453,42,scaffold_2092,,,42_scaffold_2092
1454,42,scaffold_730,,,42_scaffold_730
1455,42,scaffold_141,,,42_scaffold_141
1456,42,scaffold_1534,,,42_scaffold_1534
1457,42,scaffold_995,,,42_scaffold_995
1458,42,scaffold_1696,1757,,42_scaffold_1696
1459,42,scaffold_707,3219,,42_scaffold_707
1460,42,scaffold_97,3277,,42_scaffold_97
1461,42,scaffold_1027,1165,,42_scaffold_1027
1462,42,scaffold_2545,,,42_scaffold_2545
1463,42,scaffold_26,2685,,42_scaffold_26
1464,42,scaffold_1553,,,42_scaffold_1553
1465,42,scaffold_265,,,42_scaffold_265
1466,42,scaffold_482,,,42_scaffold_482
1467,42,scaffold_544,3429,,42_scaffold_544
1468,42,scaffold_509,,,42_scaffold_509
1469,42,scaffold_589,1804,,42_scaffold_589
1470,42,scaffold_13,361,,42_scaffold_13
1471,42,scaffold_1063,,,42_scaffold_1063
1472,42,scaffold_496,1310,,42_scaffold_496
1473,42,scaffold_382,1977,,42_scaffold_382
1474,42,scaffold_172,3516,,42_scaffold_172
1475,42,scaffold_480,3369,,42_scaffold_480
1476,42,scaffold_440,1664,,42_scaffold_440
1477,42,scaffold_2533,,,42_scaffold_2533
1478,42,scaffold_46,,,42_scaffold_46
1479,42,scaffold_224,2973,,42_scaffold_224
1480,42,scaffold_1477,,,42_scaffold_1477
1481,42,scaffold_861,,,42_scaffold_861
1482,42,scaffold_1001,878,,42_scaffold_1001
1483,42,scaffold_1568,,,42_scaffold_1568
1484,42,scaffold_84,2384,,42_scaffold_84
1485,42,scaffold_168,1379,,42_scaffold_168
1486,42,scaffold_266,1163,,42_scaffold_266
1487,42,scaffold_318,2347,,42_scaffold_318
1488,42,scaffold_322,3603,,42_scaffold_322
1489,42,scaffold_1396,,,42_scaffold_1396
1490,42,scaffold_73,4328,,42_scaffold_73
1491,42,scaffold_104,474,,42_scaffold_104
1492,42,scaffold_451,1473,,42_scaffold_451
1493,42,scaffold_704,3166,,42_scaffold_704
1494,42,scaffold_961,1071,,42_scaffold_961
1495,42,scaffold_487,5430,,42_scaffold_487
1496,42,scaffold_220,1846,,42_scaffold_220
1497,42,scaffold_470,1983,,42_scaffold_470
1498,42,scaffold_518,1680,,42_scaffold_518
1499,42,scaffold_1048,3183,,42_scaffold_1048
1500,42,scaffold_2219,1467,,42_scaffold_2219
1501,42,scaffold_114,,,42_scaffold_114
1502,42,scaffold_493,1115,,42_scaffold_493
1503,42,scaffold_96,2776,,42_scaffold_96
1504,42,scaffold_16,4947,,42_scaffold_16
1505,42,scaffold_40,719,,42_scaffold_40
1506,42,scaffold_2134,1229,,42_scaffold_2134
1507,42,scaffold_654,2570,,42_scaffold_654
1508,42,scaffold_3066,,,42_scaffold_3066
1509,42,scaffold_1788,2482,,42_scaffold_1788
1510,42,scaffold_255,706,,42_scaffold_255
1511,42,scaffold_1174,1138,,42_scaffold_1174
1512,42,scaffold_196,663,,42_scaffold_196
1513,42,scaffold_602,,,42_scaffold_602
1514,9,c00002_NODE,,,9_c00002_NODE
1515,133,scaffold_406,,,133_scaffold_406
1516,133,scaffold_864,,,133_scaffold_864
1517,133,scaffold_16,5657,,133_scaffold_16
1518,133,scaffold_4,2354,,133_scaffold_4
1519,133,scaffold_847,,,133_scaffold_847
1520,133,scaffold_310,,,133_scaffold_310
1521,133,scaffold_537,,,133_scaffold_537
1522,133,scaffold_299,,,133_scaffold_299
1523,133,scaffold_2,,,133_scaffold_2
1524,133,scaffold_414,,,133_scaffold_414
1525,133,scaffold_1140,,,133_scaffold_1140
1526,133,scaffold_970,,,133_scaffold_970
1527,133,scaffold_286,,,133_scaffold_286
1528,133,scaffold_611,,,133_scaffold_611
1529,133,scaffold_338,,,133_scaffold_338
1530,133,scaffold_293,,,133_scaffold_293
1531,133,scaffold_13,,,133_scaffold_13
1532,133,scaffold_1045,2512,,133_scaffold_1045
1533,133,scaffold_944,,,133_scaffold_944
1534,133,scaffold_1162,,,133_scaffold_1162
1535,133,scaffold_1304,,,133_scaffold_1304
1536,133,scaffold_70,,,133_scaffold_70
1537,133,scaffold_1,,,133_scaffold_1
1538,133,scaffold_303,,,133_scaffold_303
1539,133,scaffold_128,,,133_scaffold_128
1540,133,scaffold_194,,,133_scaffold_194
1541,133,scaffold_41,,,133_scaffold_41
1542,133,scaffold_83,2179,,133_scaffold_83
1543,133,scaffold_919,,,133_scaffold_919
1544,133,scaffold_58,,,133_scaffold_58
1545,94,scaffold_2530,,,94_scaffold_2530
1546,94,scaffold_139,2483,,94_scaffold_139
1547,94,scaffold_1649,1223,,94_scaffold_1649
1548,94,scaffold_1253,1065,,94_scaffold_1253
1549,94,scaffold_808,649,,94_scaffold_808
1550,94,scaffold_1078,795,,94_scaffold_1078
1551,94,scaffold_1229,,,94_scaffold_1229
1552,94,scaffold_559,4720,,94_scaffold_559
1553,94,scaffold_697,2243,,94_scaffold_697
1554,94,scaffold_1415,,,94_scaffold_1415
1555,94,scaffold_467,2856,,94_scaffold_467
1556,94,scaffold_2186,413,,94_scaffold_2186
1557,94,scaffold_1965,679,,94_scaffold_1965
1558,94,scaffold_409,1636,,94_scaffold_409
1559,94,scaffold_1723,506,,94_scaffold_1723
1560,94,scaffold_679,1699,,94_scaffold_679
1561,94,scaffold_80,4123,,94_scaffold_80
1562,94,scaffold_428,3835,,94_scaffold_428
1563,94,scaffold_770,338,,94_scaffold_770
1564,94,scaffold_2322,,,94_scaffold_2322
1565,94,scaffold_643,1795,,94_scaffold_643
1566,94,scaffold_516,728,,94_scaffold_516
1567,94,scaffold_340,,,94_scaffold_340
1568,94,scaffold_2364,,,94_scaffold_2364
1569,94,scaffold_2583,,,94_scaffold_2583
1570,94,scaffold_475,365,,94_scaffold_475
1571,94,scaffold_435,,,94_scaffold_435
1572,94,scaffold_440,1067,,94_scaffold_440
1573,94,scaffold_1464,1312,,94_scaffold_1464
1574,94,scaffold_1429,,,94_scaffold_1429
1575,94,scaffold_148,2391,,94_scaffold_148
1576,94,scaffold_246,908,,94_scaffold_246
1577,94,scaffold_105,1367,,94_scaffold_105
1578,94,scaffold_2642,460,,94_scaffold_2642
1579,94,scaffold_2116,,,94_scaffold_2116
1580,94,scaffold_439,2566,,94_scaffold_439
1581,94,scaffold_1535,,,94_scaffold_1535
1582,94,scaffold_2519,,,94_scaffold_2519
1583,94,scaffold_2660,,,94_scaffold_2660
1584,94,scaffold_1617,737,,94_scaffold_1617
1585,94,scaffold_2051,,,94_scaffold_2051
1586,94,scaffold_1200,,,94_scaffold_1200
1587,94,scaffold_570,1456,,94_scaffold_570
1588,94,scaffold_2242,,,94_scaffold_2242
1589,94,scaffold_184,480,,94_scaffold_184
1590,94,scaffold_606,,,94_scaffold_606
1591,94,scaffold_1766,883,,94_scaffold_1766
1592,94,scaffold_69,,,94_scaffold_69
1593,94,scaffold_128,2921,,94_scaffold_128
1594,94,scaffold_266,,,94_scaffold_266
1595,94,scaffold_133,2758,,94_scaffold_133
1596,94,scaffold_241,2590,,94_scaffold_241
1597,94,scaffold_2034,1523,,94_scaffold_2034
1598,94,scaffold_865,2149,,94_scaffold_865
1599,94,scaffold_1015,,,94_scaffold_1015
1600,94,scaffold_1414,2997,,94_scaffold_1414
1601,94,scaffold_849,,,94_scaffold_849
1602,94,scaffold_74,4136,,94_scaffold_74
1603,94,scaffold_411,3223,,94_scaffold_411
1604,94,scaffold_1001,1854,,94_scaffold_1001
1605,94,scaffold_771,1136,,94_scaffold_771
1606,94,scaffold_1394,718,,94_scaffold_1394
1607,94,scaffold_330,529,,94_scaffold_330
1608,94,scaffold_581,,,94_scaffold_581
1609,94,scaffold_485,1619,,94_scaffold_485
1610,94,scaffold_2399,,,94_scaffold_2399
1611,94,scaffold_488,,,94_scaffold_488
1612,94,scaffold_121,678,,94_scaffold_121
1613,70,scaffold_215,,,70_scaffold_215
1614,70,scaffold_24,543,,70_scaffold_24
1615,70,scaffold_64,,,70_scaffold_64
1616,70,scaffold_597,,,70_scaffold_597
1617,70,scaffold_1169,,,70_scaffold_1169
1618,70,scaffold_260,,,70_scaffold_260
1619,70,scaffold_159,,,70_scaffold_159
1620,70,scaffold_9,,,70_scaffold_9
1621,70,scaffold_97,,,70_scaffold_97
1622,70,scaffold_441,2291,,70_scaffold_441
1623,70,scaffold_1011,,,70_scaffold_1011
1624,70,scaffold_4,,,70_scaffold_4
1625,70,scaffold_152,,,70_scaffold_152
1626,70,scaffold_362,,,70_scaffold_362
1627,70,scaffold_415,,,70_scaffold_415
1628,70,scaffold_167,,,70_scaffold_167
1629,70,scaffold_98,,,70_scaffold_98
1630,70,scaffold_21,,,70_scaffold_21
1631,70,scaffold_8,2679,,70_scaffold_8
1632,70,scaffold_78,,,70_scaffold_78
1633,70,scaffold_289,,,70_scaffold_289
1634,70,scaffold_111,,,70_scaffold_111
1635,70,scaffold_425,,,70_scaffold_425
1636,70,scaffold_25,,,70_scaffold_25
1637,70,scaffold_1,11441,,70_scaffold_1
1638,70,scaffold_578,,,70_scaffold_578
1639,70,scaffold_3,4726,,70_scaffold_3
1640,372,scaffold_55,,,372_scaffold_55
1641,372,scaffold_602,,,372_scaffold_602
1642,372,scaffold_220,1498,,372_scaffold_220
1643,372,scaffold_534,,,372_scaffold_534
1644,372,scaffold_393,,,372_scaffold_393
1645,372,scaffold_163,2183,,372_scaffold_163
1646,372,scaffold_7,,,372_scaffold_7
1647,372,scaffold_20,,,372_scaffold_20
1648,372,scaffold_383,,,372_scaffold_383
1649,372,scaffold_497,,,372_scaffold_497
1650,372,scaffold_303,,,372_scaffold_303
1651,372,scaffold_70,,,372_scaffold_70
1652,372,scaffold_1,,,372_scaffold_1
1653,372,scaffold_415,,,372_scaffold_415
1654,372,scaffold_483,2639,,372_scaffold_483
1655,372,scaffold_665,,,372_scaffold_665
1656,372,scaffold_1169,,,372_scaffold_1169
1657,372,scaffold_507,,,372_scaffold_507
1658,372,scaffold_146,,,372_scaffold_146
1659,372,scaffold_1205,,,372_scaffold_1205
1660,372,scaffold_1285,,,372_scaffold_1285
1661,372,scaffold_1110,,,372_scaffold_1110
1662,372,scaffold_46,,,372_scaffold_46
1663,372,scaffold_337,,,372_scaffold_337
1664,372,scaffold_2,10481,,372_scaffold_2
1665,372,scaffold_1077,,,372_scaffold_1077
1666,372,scaffold_459,1830,,372_scaffold_459
1667,372,scaffold_473,,,372_scaffold_473
1668,372,scaffold_214,,,372_scaffold_214
1669,372,scaffold_63,,,372_scaffold_63
1670,372,scaffold_9,,,372_scaffold_9
1671,372,scaffold_101,,,372_scaffold_101
1672,372,scaffold_4,,,372_scaffold_4
1673,372,scaffold_452,,,372_scaffold_452
1674,372,scaffold_183,,,372_scaffold_183
1675,372,scaffold_195,3666,,372_scaffold_195
1676,372,scaffold_601,,,372_scaffold_601
1677,372,scaffold_80,,,372_scaffold_80
1678,372,scaffold_676,,,372_scaffold_676
1679,372,scaffold_450,661,,372_scaffold_450
1680,372,scaffold_261,,,372_scaffold_261
1681,372,scaffold_309,,,372_scaffold_309
1682,372,scaffold_96,,,372_scaffold_96
1683,291,scaffold_217,,,291_scaffold_217
1684,208,scaffold_706,,,208_scaffold_706
1685,208,scaffold_975,,,208_scaffold_975
1686,208,scaffold_640,5021,,208_scaffold_640
1687,208,scaffold_21,8522,,208_scaffold_21
1688,208,scaffold_773,,,208_scaffold_773
1689,208,scaffold_491,,,208_scaffold_491
1690,208,scaffold_1985,2181,,208_scaffold_1985
1691,208,scaffold_852,,,208_scaffold_852
1692,208,scaffold_353,5371,,208_scaffold_353
1693,208,scaffold_593,,,208_scaffold_593
1694,208,scaffold_420,,,208_scaffold_420
1695,208,scaffold_1072,,,208_scaffold_1072
1696,208,scaffold_1538,,,208_scaffold_1538
1697,208,scaffold_721,4536,,208_scaffold_721
1698,208,scaffold_1198,,,208_scaffold_1198
1699,208,scaffold_1025,1337,,208_scaffold_1025
1700,208,scaffold_898,,,208_scaffold_898
1701,208,scaffold_1982,,,208_scaffold_1982
1702,208,scaffold_11,,,208_scaffold_11
1703,208,scaffold_1137,,,208_scaffold_1137
1704,208,scaffold_722,,,208_scaffold_722
1705,208,scaffold_461,3461,,208_scaffold_461
1706,208,scaffold_1980,,,208_scaffold_1980
1707,208,scaffold_1201,,,208_scaffold_1201
1708,208,scaffold_233,2301,,208_scaffold_233
1709,208,scaffold_897,,,208_scaffold_897
1710,208,scaffold_797,3287,,208_scaffold_797
1711,208,scaffold_1,,,208_scaffold_1
1712,208,scaffold_1313,2857,,208_scaffold_1313
1713,208,scaffold_1090,,,208_scaffold_1090
1714,208,scaffold_310,6373,,208_scaffold_310
1715,208,scaffold_58,6874,,208_scaffold_58
1716,208,scaffold_1763,,,208_scaffold_1763
1717,208,scaffold_83,7654,,208_scaffold_83
1718,208,scaffold_18,,,208_scaffold_18
1719,208,scaffold_7,,,208_scaffold_7
1720,208,scaffold_918,,,208_scaffold_918
1721,208,scaffold_1742,,,208_scaffold_1742
1722,208,scaffold_34,7731,,208_scaffold_34
1723,208,scaffold_141,,,208_scaffold_141
1724,208,scaffold_713,4598,,208_scaffold_713
1725,208,scaffold_162,2863,,208_scaffold_162
1726,208,scaffold_1002,,,208_scaffold_1002
1727,208,scaffold_657,3626,,208_scaffold_657
1728,198,scaffold_20,5475,,198_scaffold_20
1729,198,scaffold_802,,,198_scaffold_802
1730,198,scaffold_17,,,198_scaffold_17
1731,198,scaffold_97,1171,,198_scaffold_97
1732,198,scaffold_22,1951,,198_scaffold_22
1733,198,scaffold_79,,,198_scaffold_79
1734,198,scaffold_1,,,198_scaffold_1
1735,198,scaffold_74,1653,,198_scaffold_74
1736,198,scaffold_43,,,198_scaffold_43
1737,198,scaffold_18,,,198_scaffold_18
1738,198,scaffold_7,,,198_scaffold_7
1739,198,scaffold_72,,,198_scaffold_72
1740,198,scaffold_161,,,198_scaffold_161
1741,198,scaffold_64,,,198_scaffold_64
1742,198,scaffold_255,,,198_scaffold_255
1743,198,scaffold_53,,,198_scaffold_53
1744,198,scaffold_45,4244,,198_scaffold_45
1745,198,scaffold_196,671,,198_scaffold_196
1746,198,scaffold_30,4956,,198_scaffold_30
1747,198,scaffold_178,,,198_scaffold_178
1748,198,scaffold_8,,,198_scaffold_8
1749,198,scaffold_102,1564,,198_scaffold_102
1750,198,scaffold_197,2052,,198_scaffold_197
1751,198,scaffold_12,,,198_scaffold_12
1752,198,scaffold_787,,,198_scaffold_787
1753,198,scaffold_10,6967,,198_scaffold_10
1754,198,scaffold_4,,,198_scaffold_4
1755,198,scaffold_139,,,198_scaffold_139
1756,198,scaffold_145,,,198_scaffold_145
1757,198,scaffold_96,,,198_scaffold_96
1758,198,scaffold_147,,,198_scaffold_147
1759,198,scaffold_244,,,198_scaffold_244
1760,198,scaffold_35,3682,,198_scaffold_35
1761,198,scaffold_356,,,198_scaffold_356
1762,176,scaffold_1184,,,176_scaffold_1184
1763,176,scaffold_545,,,176_scaffold_545
1764,176,scaffold_112,8992,,176_scaffold_112
1765,176,scaffold_1686,,,176_scaffold_1686
1766,176,scaffold_28,3966,,176_scaffold_28
1767,176,scaffold_270,,,176_scaffold_270
1768,176,scaffold_1173,,,176_scaffold_1173
1769,176,scaffold_927,,,176_scaffold_927
1770,176,scaffold_106,2765,,176_scaffold_106
1771,176,scaffold_1038,2623,,176_scaffold_1038
1772,176,scaffold_439,,,176_scaffold_439
1773,176,scaffold_127,4094,,176_scaffold_127
1774,176,scaffold_418,2825,,176_scaffold_418
1775,176,scaffold_597,4166,,176_scaffold_597
1776,176,scaffold_831,,,176_scaffold_831
1777,176,scaffold_2,17354,,176_scaffold_2
1778,176,scaffold_2623,2613,,176_scaffold_2623
1779,176,scaffold_501,1849,,176_scaffold_501
1780,176,scaffold_1405,1507,,176_scaffold_1405
1781,176,scaffold_222,885,,176_scaffold_222
1782,176,scaffold_2659,,,176_scaffold_2659
1783,176,scaffold_426,1518,,176_scaffold_426
1784,176,scaffold_201,488,,176_scaffold_201
