Assembly,estimated_coverage,# contigs (>= 0 bp),# contigs (>= 1000 bp),# contigs (>= 5000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 50000 bp),Total length (>= 0 bp),Total length (>= 1000 bp),Total length (>= 5000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 50000 bp),# contigs,Largest contig,Total length,GC (%),N50,N75,L50,L75,# total reads,# left,# right,Mapped (%),Properly paired (%),Avg. coverage depth,Coverage >= 1x (%),# N's per 100 kbp,genes,mRNA,tRNA,ncRNA,rRNA,avg_gene_length,BGC_count,kc_proportion,BGC_types,total_BGC_length,BGC_mean_length,BGC_median_length,contig_edge_proportion,average_min_cosine_score,GCC min > 0.4,novelty score,Query,Accession,Identity,Bitscore,E-value,Subject Name,BUSCO - C,BUSCO - S,BUSCO - D,BUSCO - F,BUSCO - M,isolate_class,isolate_order,isolate_family,isolate_genus,Host_ID,Host_location,Host_Class,Host_Order,Host_Family,Host_Genus,Host_Species,Photobiont,Growth_form,Macroclimate
91,4.71,27149,12350,547,9,0,0,36014101,27664966,3447326,99148,0,0,20468,12288,33484982,47.94,2106,1233,4875,10057,2099908,1047483,1047483,95.52,91.13,8,99.97,13.95,0,0,0,0,0,0,1,0,NRPS,6318,6318,6318,1,0.054054054,0.054054054,0.657400453,NODE_7597_length_1568_cov_18.805690|F,NR_161072,77.933,202,1.21E-51,Hydnotrya puberula BJTC FAN721 ITS region; from TYPE material,,,,,,Pezizomycetes,Pezizales,Discinaceae,Hydnotrya,447,Knight's bush,Lecanoromycetes,Lecanorales,Parmeliaceae,Menegazzia,neozelandica,Green,Foliose,"Cold, sub-humid"
92,7.69,4376,3224,1911,1109,216,9,31251971,30683625,27099483,21212547,7351174,572348,3670,87830,30998754,54.01,14948,8506,646,1330,2252433,1125652,1125652,99.35,98.68,10,99.99,6.26,11502,10992,510,0,0,1416.68,21,0.19,"T3PKS, NRPS-like, terpene, T1PKS, NRPS",390588,18599.43,15935,0.9,0.053845413,0.053845413,2.168861546,NODE_725_length_14018_cov_1.371751|F|ITS2,NR_168198,92.593,76.8,5.89E-13,Parasarcopodium hongkongensis KUMCC 17-0267 ITS region; from TYPE material,1181 (90.02%),1177 (89.71%),4 (0.3%),88 (6.71%),43 (3.28%),Sordariomycetes,Hypocreales,Stachybotryaceae,Parasarcopodium,447,Knight's bush,Lecanoromycetes,Lecanorales,Parmeliaceae,Menegazzia,neozelandica,Green,Foliose,"Cold, sub-humid"
93,8.18,10018,6922,2873,1001,39,3,40324782,39050212,28141226,14886577,1244468,164406,7987,60238,39826919,49.23,7870,4469,1568,3240,2493650,1245670,1245670,99.3,98.2,8,99.96,32.54,12817,12649,168,0,0,1397.76,79,0.14,"indole, T3PKS, NRPS-like, terpene, T1PKS, NRPS",933549,11817.08,10189,1,0.052153764,0.052153764,1.90383727,NODE_6316_length_1398_cov_58.846612|F,NR_153514,87.755,545,1.42E-155,Amphirosellinia fushanensis HAST 91111209 ITS region; from TYPE material,1091 (83.16%),1088 (82.93%),3 (0.23%),163 (12.42%),58 (4.42%),Sordariomycetes,Xylariales,Xylariaceae,Amphirosellinia,447,Knight's bush,Lecanoromycetes,Lecanorales,Parmeliaceae,Menegazzia,neozelandica,Green,Foliose,"Cold, sub-humid"
94,9.04,8309,6801,2914,1058,56,0,40447708,39547269,29088174,15997254,1658685,0,7722,44832,40227025,49.03,8211,4650,1512,3139,2334815,1166901,1166901,99.33,98.07,8,99.98,20.25,13396,13180,216,0,0,1263.74,68,0.19,"indole, T3PKS, NRPS-like, terpene, T1PKS, NRPS",803053,11809.6,11633.5,1,0.052836916,0.052836916,1.746441485,NODE_6249_length_1392_cov_12.233992|F,NR_147567,92.241,324,7.11E-89,Xylaria longissima IRAN 2268C ITS region; from TYPE material,980 (74.7%),979 (74.62%),1 (0.08%),236 (17.99%),96 (7.32%),Sordariomycetes,Xylariales,Xylariaceae,Xylaria,452,Knight's bush,Lecanoromycetes,Lecanorales,Parmeliaceae,Parmotrema,perlatum,Green,Foliose,"Cold, sub-humid"
95,8.45,26411,14542,812,38,0,0,41399349,34501099,5297254,454640,0,0,21471,17459,39511342,49.71,2386,1444,5226,10519,2112973,1056180,1056180,95.99,94.08,7,99.98,16.41,15358,15257,101,0,0,1203.9,57,0.12,"T1PKS, NRPS-like, NRPS",468111,8212.47,8054,1,0.042125564,0.042125564,1.268263666,,,,,,,918 (69.97%),917 (69.89%),1 (0.08%),296 (22.56%),98 (7.47%),unidentified,unidentified,unidentified,unidentified,452,Knight's bush,Lecanoromycetes,Lecanorales,Parmeliaceae,Parmotrema,perlatum,Green,Foliose,"Cold, sub-humid"
96,7.72,19983,11178,1742,190,0,0,39763109,35106010,12540247,2338218,0,0,15286,22938,38035791,54.22,3619,2065,3275,6740,3313279,1647470,1647470,98.61,92.69,12,99.97,17.1,11764,11521,243,0,0,1204.96,4,0,"terpene, NRPS-like, NRPS",48843,12210.75,9479.5,1,0.022275514,0.022275514,1.644267015,NODE_13395_length_672_cov_17.733945|F,NR_160170,97.455,470,1.27E-132,Tricharina gilva CBS 236.85 ITS region; from TYPE material,1091 (83.16%),1081 (82.39%),10 (0.76%),170 (12.96%),51 (3.89%),Pezizomycetes,Pezizales,Pyronemataceae,Tricharina,452,Knight's bush,Lecanoromycetes,Lecanorales,Parmeliaceae,Parmotrema,perlatum,Green,Foliose,"Cold, sub-humid"
97,12.33,45087,4073,0,0,0,0,23763846,5489927,0,0,0,0,18134,4749,15161027,52.04,853,648,6347,11469,617119,308407,308407,64.17,59.33,3,99.88,117.51,6261,6249,12,0,0,597.43,0,0,,0,0,0,0,0,0,0,NODE_36812_length_255_cov_6.800000|F|ITS1,NR_153510,92.513,263,5.97E-71,Anthostomelloides leucospermi ITS region; from TYPE material,97 (7.39%),96 (7.32%),1 (0.08%),262 (19.97%),953 (72.64%),Sordariomycetes,Xylariales,Xylariales incertae sedis,Anthostomelloides,452,Knight's bush,Lecanoromycetes,Lecanorales,Parmeliaceae,Parmotrema,perlatum,Green,Foliose,"Cold, sub-humid"
98,2.25,38977,12260,78,4,0,0,35660362,20696258,493731,48237,0,0,26810,13624,31039657,50.41,1306,864,7732,15039,1308940,652665,652665,86.89,81.42,5,99.96,29.75,0,0,0,0,0,0,4,0.25,T1PKS,28009,7002.25,6931,1,0.035182085,0.035182085,0.422804628,NODE_5951_length_1481_cov_12.228951|F,NR_153510,95.69,374,7.20E-104,Anthostomelloides leucospermi ITS region; from TYPE material,,,,,,Sordariomycetes,Xylariales,Xylariales incertae sedis,Anthostomelloides,452,Knight's bush,Lecanoromycetes,Lecanorales,Parmeliaceae,Parmotrema,perlatum,Green,Foliose,"Cold, sub-humid"
99,4.74,41163,5778,1,0,0,0,24690829,8445120,5148,0,0,0,18685,5148,17461546,52.85,979,705,6067,11341,751104,375483,375483,72.69,69.39,4,99.93,66.81,8773,8770,3,0,0,752.55,0,0,,0,0,0,0,0,0,0,NODE_3142_length_1274_cov_51.542248|F,NR_157477,89.565,584,3.04E-167,Periconia epilithographicola CBS 144017 ITS region; from TYPE material,234 (17.84%),233 (17.76%),1 (0.08%),434 (33.08%),644 (49.09%),Dothideomycetes,Pleosporales,Periconiaceae,Periconia,452,Knight's bush,Lecanoromycetes,Lecanorales,Parmeliaceae,Parmotrema,perlatum,Green,Foliose,"Cold, sub-humid"
100,2.75,50983,1270,1,0,0,0,18756525,1592247,5644,0,0,0,11287,5644,8177758,48.43,708,586,4308,7499,560974,278603,278603,51.1,44.15,4,99.89,103.56,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,NODE_158_length_1537_cov_22.323887|F,NR_156340,78.832,171,1.55E-42,Gyromitra khanspurensis LAH 35074 ITS region; from TYPE material,29 (2.2%),29 (2.2%),0,189 (14.4%),1094 (83.4%),Pezizomycetes,Pezizales,Discinaceae,Gyromitra,452,Knight's bush,Lecanoromycetes,Lecanorales,Parmeliaceae,Parmotrema,perlatum,Green,Foliose,"Cold, sub-humid"
101,2.04,33360,15759,375,7,0,0,42460629,32241386,2362723,85082,0,0,26061,14750,39689131,49.33,1877,1160,6745,13463,1728697,863226,863226,93.19,88.96,5,99.96,28.99,0,0,0,0,0,0,8,0.25,"T1PKS, NRPS",57614,7201.75,7089.5,1,0.064436925,0.064436925,0.493982253,NODE_11117_length_1360_cov_11.826440|F,NR_153510,95.441,523,1.98E-148,Anthostomelloides leucospermi ITS region; from TYPE material,,,,,,Sordariomycetes,Xylariales,Xylariales incertae sedis,Anthostomelloides,452,Knight's bush,Lecanoromycetes,Lecanorales,Parmeliaceae,Parmotrema,perlatum,Green,Foliose,"Cold, sub-humid"
102,6.27,10035,7131,1945,380,3,0,30596840,28971546,15709692,5034938,93948,0,8666,36915,30090808,54.03,5191,2971,1815,3713,1615773,807292,807292,98.2,96.34,7,99.98,19.11,12891,12435,456,0,0,1165.82,13,0.15,"T1PKS, terpene, T3PKS, NRPS",116883,8991,6795,1,0.072769078,0.072769078,1.540131669,NODE_5095_length_2013_cov_1.170732|F|ITS2,NR_160175,92.593,76.8,8.83E-14,Trichonectria rectipila CBS 132.87 ITS region; from TYPE material,943 (71.88%),939 (71.57%),4 (0.3%),270 (20.58%),99 (7.55%),Sordariomycetes,Hypocreales,Bionectriaceae,Trichonectria,452,Knight's bush,Lecanoromycetes,Lecanorales,Parmeliaceae,Parmotrema,perlatum,Green,Foliose,"Cold, sub-humid"
103,5.96,36019,13493,132,2,0,0,36565007,25127456,797134,27833,0,0,24212,17553,32857814,49,1608,1031,6635,13016,1190190,594523,594523,91.2,86.27,4,99.89,102.86,0,0,0,0,0,0,1,0,NRPS,5528,5528,5528,1,0.068411495,0.068411495,0.615563602,NODE_9245_length_1322_cov_36.244672|F,NR_121350,92.582,475,5.46E-134,Nemania abortiva ATCC MYA-4108 ITS region; from TYPE material,,,,,,Sordariomycetes,Xylariales,Xylariaceae,Nemania,458,Knight's bush,Lecanoromycetes,Gyalectales,Gyalectaceae,Coenogonium,implexum,Green,Crustose,"Cold, sub-humid"
104,,21728,12208,839,31,0,0,36035435,30617946,5487045,394185,0,0,17525,21169,34434226,50.36,2586,1582,4213,8448,2332089,1165655,1165655,96.87,95.77,9,99.99,8.39,12590,12512,78,0,0,1273.72,35,0.14,"indole, T1PKS, NRPS-like, NRPS",292756,8364.46,7161,1,0.040977459,0.040977459,1.29343287,NODE_21256_length_296_cov_5.420118|F,NR_153510,89.037,366,7.24E-102,Anthostomelloides leucospermi ITS region; from TYPE material,983 (74.92%),983 (74.92%),0 (0.0%),247 (18.83%),82 (6.25%),Sordariomycetes,Xylariales,Xylariales incertae sedis,Anthostomelloides,458,Knight's bush,Lecanoromycetes,Gyalectales,Gyalectaceae,Coenogonium,implexum,Green,Crustose,"Cold, sub-humid"
105,4.31,20131,10712,945,59,0,0,32705613,27291294,6402071,697662,0,0,16054,17792,31154021,51.44,2633,1485,3547,7511,2056810,1028218,1028218,96.55,95.45,9,99.99,9.31,11746,11676,70,0,0,1257.27,27,0.11,"T1PKS, NRPS",222862,8254.15,7548,1,0.048174402,0.048174402,1.378703848,NODE_3508_length_2650_cov_22.362663|F,NR_144868,95.48,826,0.00E+00,Trichoderma lentiforme CBS 100542 ITS region; from TYPE material,1019 (77.67%),1015 (77.36%),4 (0.3%),228 (17.38%),65 (4.95%),Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,458,Knight's bush,Lecanoromycetes,Gyalectales,Gyalectaceae,Coenogonium,implexum,Green,Crustose,"Cold, sub-humid"
106,8.46,7606,5411,2682,932,36,0,34619285,33474147,25858034,13481827,1076911,0,6427,48690,34187878,53.08,8343,5097,1330,2640,5538576,2768058,2768058,99.44,99.05,22,99.99,3.63,9800,9498,302,0,0,1516.3,19,0.16,"indole, fungal-RiPP, T3PKS, NRPS-like, terpene, T1PKS, NRPS",258128,13585.68,13297,1,0.01732192,0.01732192,1.875851653,NODE_5318_length_1085_cov_172.496868|F|ITS2,NR_159858,100,278,1.65E-75,Gelasinospora brevispora CBS 547.94 ITS region; from TYPE material,1227 (93.52%),1226 (93.45%),1 (0.08%),62 (4.73%),23 (1.75%),Sordariomycetes,Sordariales,Sordariaceae,Gelasinospora,458,Knight's bush,Lecanoromycetes,Gyalectales,Gyalectaceae,Coenogonium,implexum,Green,Crustose,"Cold, sub-humid"
107,7.5,17023,10855,1722,191,0,0,38040140,34523902,12502543,2389285,0,0,14333,21844,37019363,49.92,3654,2146,3127,6427,3786520,1892595,1892595,98.49,97.93,14,99.99,5.27,12618,12505,113,0,0,1385.07,48,0.12,"indole, NRPS-like, terpene, T1PKS, NRPS",479502,9989.62,8596,1,0.048361717,0.048361717,1.554617641,NODE_7836_length_1718_cov_17.426776|F,NR_121350,90.577,918,0,Nemania abortiva ATCC MYA-4108 ITS region; from TYPE material,1138 (86.74%),1135 (86.51%),3 (0.23%),129 (9.83%),45 (3.43%),Sordariomycetes,Xylariales,Xylariaceae,Nemania,458,Knight's bush,Lecanoromycetes,Gyalectales,Gyalectaceae,Coenogonium,implexum,Green,Crustose,"Cold, sub-humid"
108,20.42,27106,11974,209,4,0,0,32456882,23818710,1261807,48285,0,0,20525,12825,29945713,51,1783,1117,5410,10689,1485984,742744,742744,93.1,90.95,6,99.98,16.25,0,0,0,0,0,0,6,0.17,"T1PKS, NRPS-like, NRPS",50728,8454.67,7832,1,0.032019099,0.032019099,0.513688845,NODE_6466_length_1611_cov_8.598383|F,NR_153510,90.196,457,2.41E-128,Anthostomelloides leucospermi ITS region; from TYPE material,,,,,,Sordariomycetes,Xylariales,Xylariales incertae sedis,Anthostomelloides,458,Knight's bush,Lecanoromycetes,Gyalectales,Gyalectaceae,Coenogonium,implexum,Green,Crustose,"Cold, sub-humid"
109,13.73,11340,219,2,1,0,0,3981455,326857,20088,14838,0,0,1514,14838,1164432,41.22,725,586,524,973,252423,125849,125849,67.23,65.94,19,99.91,66.13,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,NODE_47_length_1630_cov_205.325079|F|ITS2,NR_152948,100,322,8.89E-89,Mucor hiemalis f. hiemalis CBS 201.65 ITS region; from TYPE material,,,,,,Mucoromycetes,Mucorales,Mucoraceae,Mucor,459,Herbert Forest,Lecanoromycetes,Lecanorales,Parmeliaceae,Usnea,sp.,Green,Fruticose,"Mild, sub-humid"
110,5.39,22667,13036,775,53,0,0,37287232,31702801,5245376,672696,0,0,18617,19678,35742193,49.74,2476,1507,4485,9100,2574762,1287183,1287183,97.12,96.26,10,99.99,8.7,14308,14202,106,0,0,1251.88,29,0.21,"T1PKS, terpene, NRPS-like, NRPS",288335,9942.59,9017,1,0.037214663,0.037214663,1.279143551,NODE_7160_length_1832_cov_29.095601|F,NR_158423,97.273,558,7.32E-159,Fusarium algeriense NRRL MOLD:66647 ITS region; from TYPE material,1125 (85.75%),1123 (85.59%),2 (0.15%),148 (11.28%),39 (2.97%),Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,459,Herbert Forest,Lecanoromycetes,Lecanorales,Parmeliaceae,Usnea,sp.,Green,Fruticose,"Mild, sub-humid"
111,1.14,32349,4068,29,5,0,0,18770851,6251866,224894,65513,0,0,13489,15572,12777815,54.67,987,702,4206,8082,850035,424952,424952,78.99,76.98,7,99.92,73.19,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,NODE_3135_length_1121_cov_36.770169|F|ITS2,NR_164584,99.419,311,1.90E-85,Trichoderma rugulosum SFC 20180301-001 ITS region; from TYPE material,,,,,,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,325,Mangarakau Patarau River Walk,Lecanoromycetes,Peltigerales,Lobariaceae,Pseudocyphellaria,lividofusca,Tripartite,Foliose,"Mild, humid"
112,9.4,14751,9301,1593,172,1,0,32998692,29923200,11661551,2143772,36931,0,12289,36931,32077028,50.7,3787,2125,2600,5419,4494287,2246143,2246143,98.11,97.77,18,99.99,3.59,11124,11006,118,0,0,1436.47,31,0.1,"terpene, T1PKS, NRPS-like, NRPS",340972,10999.1,8200,1,0.042611701,0.042611701,1.595678807,NODE_6170_length_1860_cov_57.525101|F,NR_166015,96.721,1105,0.00E+00,Trichoderma caribbaeum var. caribbaeum CBS 119093 ITS region; from TYPE material,1161 (88.49%),1153 (87.88%),8 (0.61%),125 (9.53%),26 (1.98%),Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,325,Mangarakau Patarau River Walk,Lecanoromycetes,Peltigerales,Lobariaceae,Pseudocyphellaria,lividofusca,Tripartite,Foliose,"Mild, humid"
113,19.44,9149,6841,1490,269,1,0,26586664,25289541,11729576,3449044,26426,0,8073,26426,26185846,49.3,4550,2630,1776,3667,4345657,2171908,2171908,99.03,98.72,22,99.99,2.65,10398,10316,82,0,0,1501.38,51,0.24,"indole, T3PKS, NRPS-like, terpene, T1PKS, NRPS",549980,10783.92,8934,1,0.060156921,0.060156921,1.540056931,NODE_3769_length_2552_cov_41.383505|F,NR_144866,96.995,1219,0.00E+00,Penicillium robsamsonii CBS 140573 ITS region; from TYPE material,1236 (94.21%),1229 (93.67%),7 (0.53%),59 (4.5%),17 (1.3%),Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,325,Mangarakau Patarau River Walk,Lecanoromycetes,Peltigerales,Lobariaceae,Pseudocyphellaria,lividofusca,Tripartite,Foliose,"Mild, humid"
114,16.3,2488,1645,1087,833,452,189,34312445,33903811,32537923,30695143,24424013,15047203,1979,238660,34139300,53.24,43891,21933,233,503,4604484,2300973,2300973,99.75,99.07,18,99.99,4.52,11404,11236,168,0,0,1460.75,31,0.29,"indole, T3PKS, NRPS-like, terpene, T1PKS, NRPS",941262,30363.29,26073,0.77,0.074381152,0.074381152,2.238747704,NODE_2411_length_278_cov_54.801325|F,NR_158272,99.62,481,2.32E-136,Nothophoma macrospora UTHSC DI16-276 ITS region; from TYPE material,1220 (92.99%),1216 (92.68%),4 (0.3%),65 (4.95%),27 (2.06%),Dothideomycetes,Pleosporales,Didymellaceae,Nothophoma,325,Mangarakau Patarau River Walk,Lecanoromycetes,Peltigerales,Lobariaceae,Pseudocyphellaria,lividofusca,Tripartite,Foliose,"Mild, humid"
115,15.96,18221,36,0,0,0,0,5482853,53351,0,0,0,0,876,3756,549347,49.17,585,534,363,610,184419,92200,92200,7.11,6.49,3,99.84,149.27,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,NODE_31_length_1047_cov_9.718750|F|ITS2,NR_145242,96.875,268,1.07E-72,Neopestalotiopsis formicarum CBS 362.72 ITS region; from TYPE material,,,,,,Sordariomycetes,Xylariales,Sporocadaceae,Neopestalotiopsis,325,Mangarakau Patarau River Walk,Lecanoromycetes,Peltigerales,Lobariaceae,Pseudocyphellaria,lividofusca,Tripartite,Foliose,"Mild, humid"
116,16.83,14292,9350,1275,116,0,0,31026915,28148523,9068571,1416925,0,0,12214,19688,30240931,49.22,3458,2011,2742,5623,1711620,854942,854942,97.66,95.65,7,99.98,15.69,12487,12371,116,0,0,1266.18,44,0.14,"indole, NRPS-like, terpene, T1PKS, NRPS",349191,7936.16,7178.5,1,0.050495707,0.050495707,1.40137687,NODE_7519_length_1434_cov_19.660291|F,NR_163530,96.964,833,0,Penicillium glabrum CBS 125543 ITS region; from TYPE material,1000 (76.22%),995 (75.84%),5 (0.38%),236 (17.99%),76 (5.79%),Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,325,Mangarakau Patarau River Walk,Lecanoromycetes,Peltigerales,Lobariaceae,Pseudocyphellaria,lividofusca,Tripartite,Foliose,"Mild, humid"
117,0.68,32145,12208,131,1,0,0,33204939,22773482,776816,10704,0,0,22037,10704,29893957,48.58,1605,1026,6036,11860,1216808,608087,608087,91.4,88.03,5,99.93,69.88,0,0,0,0,0,0,1,1,NRPS,5887,5887,5887,1,0.146525689,0.146525689,0.08436524,NODE_2471_length_2372_cov_39.304704|F,NR_121320,97.98,510,2.70E-144,Fusarium asiaticum NRRL 26156 ITS region; from TYPE material,,,,,,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,325,Mangarakau Patarau River Walk,Lecanoromycetes,Peltigerales,Lobariaceae,Pseudocyphellaria,lividofusca,Tripartite,Foliose,"Mild, humid"
118,6.22,33032,8955,30,0,0,0,27807698,14427251,171897,0,0,0,21844,7748,23537410,51,1183,804,6507,12549,1078536,539197,539197,82.5,79.65,5,99.98,20.14,11002,10974,28,0,0,942.03,3,0,NRPS,17441,5813.67,5839,1,0.009677681,0.009677681,0.916055939,NODE_2746_length_1705_cov_10.892269|F,NR_159861,99.582,435,2.78E-122,Fusarium babinda CBS 397.96 ITS region; from TYPE material,509 (38.8%),505 (38.49%),4 (0.3%),510 (38.87%),293 (22.33%),Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,381,Wharariki Beach,Lecanoromycetes,Lecanorales,Parmeliaceae,Parmotrema,austrocetratum,Green,Foliose,"Mild, humid"
119,4.41,22907,9148,132,5,0,0,24899039,17215634,835876,58313,0,0,16440,12218,22461583,50.96,1618,1033,4440,8785,1625160,811960,811960,89.86,88.79,8,99.99,6.05,0,0,0,0,0,0,10,0.3,"T1PKS, NRPS",81040,8104,7414,1,0.046951299,0.046951299,0.434821712,NODE_8502_length_1062_cov_37.745455|F|ITS2,NR_163530,100,292,6.24E-80,Penicillium glabrum CBS 125543 ITS region; from TYPE material,,,,,,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,381,Wharariki Beach,Lecanoromycetes,Lecanorales,Parmeliaceae,Parmotrema,austrocetratum,Green,Foliose,"Mild, humid"
120,3.91,22702,10221,190,14,1,0,27469413,20249618,1259574,187716,26578,0,17408,26578,25442329,50.53,1772,1105,4573,9111,1382346,690959,690959,93.73,92.01,7,99.99,11.98,12432,12369,63,0,0,1136.78,15,0.13,"T1PKS, NRPS",158737,10582.47,9876,1,0.031331248,0.031331248,1.159791166,NODE_9328_length_1083_cov_22.604603|F|ITS2,NR_121320,98,257,2.09E-69,Fusarium asiaticum NRRL 26156 ITS region; from TYPE material,889 (67.76%),888 (67.68%),1 (0.08%),334 (25.46%),89 (6.78%),Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,381,Wharariki Beach,Lecanoromycetes,Lecanorales,Parmeliaceae,Parmotrema,austrocetratum,Green,Foliose,"Mild, humid"
121,,28489,1555,1,0,0,0,13317196,2045557,5707,0,0,0,9294,5707,7259139,55.19,777,614,3368,6008,357570,178758,178758,55.01,51.44,3,99.9,99.12,2591,2590,1,0,0,473.44,0,0,,0,0,0,0,0,0,0,NODE_498_length_1349_cov_37.148377|F|ITS2,NR_138447,100,320,3.18E-88,Trichoderma virilente DAOM 234234 ITS region; from reference material,23 (1.75%),23 (1.75%),0 (0.0%),122 (9.3%),1167 (88.95%),Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,381,Wharariki Beach,Lecanoromycetes,Lecanorales,Parmeliaceae,Parmotrema,austrocetratum,Green,Foliose,"Mild, humid"
122,,33859,1994,1,0,0,0,15848312,2635940,5491,0,0,0,10739,5491,8585778,52.9,803,627,3853,6890,553693,276744,276744,52.91,50.64,4,99.94,57.49,5273,5269,4,0,0,690.68,0,0,,0,0,0,0,0,0,0,NODE_283_length_1638_cov_54.915351|F,NR_077159,96.339,970,0.00E+00,Penicillium thomii FRR 2077 ITS region; from TYPE material,100 (7.62%),100 (7.62%),0 (0.0%),411 (31.33%),801 (61.05%),Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,381,Wharariki Beach,Lecanoromycetes,Lecanorales,Parmeliaceae,Parmotrema,austrocetratum,Green,Foliose,"Mild, humid"
123,5.92,33536,1233,1,0,0,0,14440749,1587894,5469,0,0,0,8929,5469,6721268,52.67,743,599,3321,5855,687373,343571,343571,40.89,39.7,4,99.94,55.05,4126,4121,5,0,0,599.19,0,0,,0,0,0,0,0,0,0,NODE_100_length_1670_cov_54.136842|F,NR_138270,99.686,582,3.95E-166,Penicillium montanense NRRL 3407 ITS region; from TYPE material,37 (2.82%),37 (2.82%),0 (0.0%),269 (20.5%),1006 (76.68%),Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,381,Wharariki Beach,Lecanoromycetes,Lecanorales,Parmeliaceae,Parmotrema,austrocetratum,Green,Foliose,"Mild, humid"
124,,6963,5372,2236,697,20,2,30098201,29224660,20727516,9959000,643247,126751,6183,73512,29806443,55.07,7346,4341,1280,2584,5828791,2913794,2913794,99.5,99.24,27,99.99,3.89,9328,9183,145,0,0,1537.36,25,0.24,"terpene, T1PKS, NRPS-like, NRPS",435700,17428,11907,1,0.074644023,0.074644023,1.771669328,NODE_4482_length_1818_cov_55.003548|F,NR_111193,99.632,994,0,Trichoderma novae-zelandiae CBS 639.92 ITS region; from TYPE material,1219 (92.91%),1215 (92.61%),4 (0.3%),67 (5.11%),26 (1.98%),Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,381,Wharariki Beach,Lecanoromycetes,Lecanorales,Parmeliaceae,Parmotrema,austrocetratum,Green,Foliose,"Mild, humid"
125,5.04,29436,11604,1305,95,0,0,41683726,33249299,8978086,1144733,0,0,17625,22588,37374094,50.15,3043,1785,3824,7802,4656394,2327513,2327513,93.91,93.42,15,99.99,4.84,14150,14052,98,0,0,1280.14,43,0.16,"indole, NRPS-like, terpene, T1PKS, NRPS",401149,9329.05,8506,1,0.043012585,0.043012585,1.376840696,NODE_10168_length_1266_cov_27.599649|F,NR_147567,92.373,331,4.17E-91,Xylaria longissima IRAN 2268C ITS region; from TYPE material,1092 (83.23%),1088 (82.93%),4 (0.3%),170 (12.96%),50 (3.81%),Sordariomycetes,Xylariales,Xylariaceae,Xylaria,381,Wharariki Beach,Lecanoromycetes,Lecanorales,Parmeliaceae,Parmotrema,austrocetratum,Green,Foliose,"Mild, humid"
126,1.31,39082,4575,3,0,0,0,22113774,6421777,18712,0,0,0,16866,6465,14960968,50.98,915,680,5684,10443,922117,460689,460689,66.46,63.98,5,99.92,66.37,7549,7537,12,0,0,724.07,0,0,,0,0,0,0,0,0,0,NODE_1185_length_1535_cov_63.668919|F,NR_138270,100,510,1.74E-144,Penicillium montanense NRRL 3407 ITS region; from TYPE material,180 (13.72%),180 (13.72%),0 (0.0%),489 (37.27%),643 (49.01%),Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,381,Wharariki Beach,Lecanoromycetes,Lecanorales,Parmeliaceae,Parmotrema,austrocetratum,Green,Foliose,"Mild, humid"
127,2.02,8205,6344,2252,667,12,0,32307499,31293355,20424094,9307963,335414,0,7270,34825,31964532,49.1,6712,3776,1480,3068,4344126,2170753,2170753,99.15,98.59,18,99.99,5.6,11921,11766,155,0,0,1470.98,87,0.1,"indole, T3PKS, NRPS-like, other, terpene, T1PKS, betalactone, NRPS",975509,11212.75,9749,1,0.059731012,0.059731012,2.032020442,NODE_6210_length_1086_cov_74.153285|F|ITS2,NR_163677,100,289,7.96E-79,Penicillium ardesiacum CBS 497.73 ITS region; from TYPE material,1242 (94.66%),1238 (94.36%),4 (0.3%),58 (4.42%),12 (0.91%),Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,381,Wharariki Beach,Lecanoromycetes,Lecanorales,Parmeliaceae,Parmotrema,austrocetratum,Green,Foliose,"Mild, humid"
