,bgc,min.cosine,genome,BiG-SLiCE class
1631,lichen_185.scaffold_1046.region001,0.157924642,lichen_185,class-Polyketide
1632,lichen_185.scaffold_1079.region001,0.012915129,lichen_185,class-Polyketide
1633,lichen_185.scaffold_12.region001,0.093597159,lichen_185,class-Terpene
1634,lichen_185.scaffold_13.region001,0.018389247,lichen_185,class-Polyketide
1635,lichen_185.scaffold_14.region001,0.080058183,lichen_185,class-NRP
1636,lichen_185.scaffold_145.region001,0.082279133,lichen_185,class-Polyketide
1637,lichen_185.scaffold_1503.region001,0.021274424,lichen_185,class-Polyketide
1638,lichen_185.scaffold_1519.region001,0.002114165,lichen_185,class-Polyketide
1639,lichen_185.scaffold_18.region001,0.043550572,lichen_185,class-NRP
1640,lichen_185.scaffold_187.region001,0.089830186,lichen_185,class-Terpene
1641,lichen_185.scaffold_2.region001,0.046638557,lichen_185,class-Polyketide
1642,lichen_185.scaffold_413.region001,0.01162457,lichen_185,class-NRP
1643,lichen_185.scaffold_468.region001,0.006410256,lichen_185,class-Terpene
1644,lichen_185.scaffold_50.region001,0.280323682,lichen_185,class-Terpene
1645,lichen_185.scaffold_514.region001,0.062492847,lichen_185,class-Polyketide
1646,lichen_185.scaffold_583.region001,0.017252807,lichen_185,class-Polyketide
1647,lichen_185.scaffold_63.region001,0.022367264,lichen_185,class-NRP
1648,lichen_185.scaffold_695.region001,0.034619128,lichen_185,class-NRP
1649,lichen_185.scaffold_709.region001,0.112525708,lichen_185,class-NRP
1650,lichen_185.scaffold_795.region001,0.032098712,lichen_185,class-Polyketide
1651,lichen_185.scaffold_873.region001,0.133922302,lichen_185,class-NRP
1652,lichen_185.scaffold_915.region001,0.022979392,lichen_185,class-Polyketide
1653,lichen_187.scaffold_1.region001,0.009950496,lichen_187,class-NRP
1654,lichen_187.scaffold_1020.region001,0.184178967,lichen_187,class-NRP
1655,lichen_187.scaffold_1027.region001,0.018353273,lichen_187,class-NRP
1656,lichen_187.scaffold_106.region001,0.03320375,lichen_187,class-NRP
1657,lichen_187.scaffold_1251.region001,0.00600503,lichen_187,class-NRP
1658,lichen_187.scaffold_1266.region001,0.014492754,lichen_187,class-NRP
1659,lichen_187.scaffold_1291.region001,0.01372549,lichen_187,class-Polyketide
1660,lichen_187.scaffold_155.region001,0.0,lichen_187,class-NRP
1661,lichen_187.scaffold_163.region001,0.048095965,lichen_187,class-Polyketide
1662,lichen_187.scaffold_2.region001,0.110641802,lichen_187,class-NRP
1663,lichen_187.scaffold_205.region001,0.038461538,lichen_187,class-NRP
1664,lichen_187.scaffold_222.region001,0.006600732,lichen_187,class-NRP
1665,lichen_187.scaffold_227.region001,0.186678749,lichen_187,class-Polyketide
1666,lichen_187.scaffold_258.region001,1.11e-16,lichen_187,class-NRP
1667,lichen_187.scaffold_3.region001,0.0,lichen_187,class-NRP
1668,lichen_187.scaffold_33.region001,0.05287063,lichen_187,class-Polyketide
1669,lichen_187.scaffold_334.region001,0.021194605,lichen_187,class-Polyketide
1670,lichen_187.scaffold_383.region001,0.010794456,lichen_187,class-Polyketide
1671,lichen_187.scaffold_40.region001,0.033432584,lichen_187,class-Polyketide
1672,lichen_187.scaffold_401.region001,0.052419355,lichen_187,class-Polyketide
1673,lichen_187.scaffold_417.region001,0.022544119,lichen_187,class-Polyketide
1674,lichen_187.scaffold_447.region001,0.014894619,lichen_187,class-Polyketide
1675,lichen_187.scaffold_464.region001,0.041956071,lichen_187,class-Polyketide
1676,lichen_187.scaffold_479.region001,0.027997183,lichen_187,class-Polyketide
1677,lichen_187.scaffold_519.region001,0.070273272,lichen_187,class-Polyketide
1678,lichen_187.scaffold_526.region001,0.006465517,lichen_187,class-Polyketide
1679,lichen_187.scaffold_529.region001,0.065217391,lichen_187,class-NRP
1680,lichen_187.scaffold_560.region001,0.053688976,lichen_187,class-Polyketide
1681,lichen_187.scaffold_588.region001,0.056745492,lichen_187,class-Polyketide
1682,lichen_187.scaffold_594.region001,0.056186874,lichen_187,class-Polyketide
1683,lichen_187.scaffold_615.region001,0.055242162,lichen_187,class-NRP
1684,lichen_187.scaffold_672.region001,0.052246355,lichen_187,class-Polyketide
1685,lichen_187.scaffold_691.region001,0.045695544,lichen_187,class-Polyketide
1686,lichen_187.scaffold_724.region001,0.0,lichen_187,class-NRP
1687,lichen_187.scaffold_738.region001,0.082467789,lichen_187,class-NRP
1688,lichen_187.scaffold_802.region001,0.031111111,lichen_187,class-Polyketide
1689,lichen_187.scaffold_867.region001,0.015384615,lichen_187,class-Polyketide
1690,lichen_187.scaffold_896.region001,0.0,lichen_187,class-Terpene
1691,lichen_187.scaffold_936.region001,0.054111062,lichen_187,class-NRP
1692,lichen_188.c00056_NODE_56...region001,0.095411346,lichen_188,class-NRP
1693,lichen_188.c00164_NODE_16...region001,0.032202114,lichen_188,class-NRP
1694,lichen_19.scaffold_11.region001,0.05695808,lichen_19,class-NRP
1695,lichen_19.scaffold_1314.region001,0.040040624,lichen_19,class-Polyketide
1696,lichen_19.scaffold_1652.region001,1.11e-16,lichen_19,class-Terpene
1697,lichen_19.scaffold_187.region001,0.031038885,lichen_19,class-Polyketide
1698,lichen_19.scaffold_226.region001,0.072975189,lichen_19,class-Terpene
1699,lichen_19.scaffold_30.region001,0.05890341,lichen_19,class-Polyketide
1700,lichen_19.scaffold_314.region001,0.020835618,lichen_19,class-NRP
1701,lichen_19.scaffold_347.region001,0.125283141,lichen_19,class-Other
1702,lichen_19.scaffold_353.region001,0.154545455,lichen_19,class-NRP
1703,lichen_19.scaffold_38.region001,0.063913642,lichen_19,class-Polyketide
1704,lichen_19.scaffold_4.region001,0.137651111,lichen_19,class-NRP
1705,lichen_19.scaffold_409.region001,0.004474295,lichen_19,class-NRP
1706,lichen_19.scaffold_43.region001,0.051762756,lichen_19,class-Polyketide
1707,lichen_19.scaffold_433.region001,0.011494253,lichen_19,class-Terpene
1708,lichen_19.scaffold_533.region001,0.0,lichen_19,class-Terpene
1709,lichen_19.scaffold_622.region001,0.068591972,lichen_19,class-NRP
1710,lichen_19.scaffold_685.region001,0.076656022,lichen_19,class-NRP
1711,lichen_19.scaffold_779.region001,0.071360637,lichen_19,class-Polyketide
1712,lichen_19.scaffold_852.region001,0.00212766,lichen_19,class-Polyketide
1713,lichen_19.scaffold_976.region001,0.014285714,lichen_19,class-Polyketide
1714,lichen_193.scaffold_111.region001,0.046983634,lichen_193,class-Polyketide
1715,lichen_193.scaffold_1145.region001,0.0,lichen_193,class-NRP
1716,lichen_193.scaffold_1199.region001,0.006593407,lichen_193,class-Polyketide
1717,lichen_193.scaffold_1204.region001,0.0,lichen_193,class-NRP
1718,lichen_193.scaffold_1255.region001,0.016015204,lichen_193,class-Polyketide
1719,lichen_193.scaffold_134.region001,0.084608273,lichen_193,class-NRP
1720,lichen_193.scaffold_136.region001,0.061375466,lichen_193,class-Polyketide
1721,lichen_193.scaffold_148.region001,0.018546851,lichen_193,class-Polyketide
1722,lichen_193.scaffold_154.region001,0.0,lichen_193,class-NRP
1723,lichen_193.scaffold_18.region001,0.016439476,lichen_193,class-NRP
1724,lichen_193.scaffold_183.region001,0.040547664,lichen_193,class-Polyketide
1725,lichen_193.scaffold_203.region001,0.004474295,lichen_193,class-NRP
1726,lichen_193.scaffold_219.region001,0.045779255,lichen_193,class-Polyketide
1727,lichen_193.scaffold_222.region001,0.019219046,lichen_193,class-Polyketide
1728,lichen_193.scaffold_297.region001,0.02888551,lichen_193,class-NRP
1729,lichen_193.scaffold_307.region001,0.025437202,lichen_193,class-Polyketide
1730,lichen_193.scaffold_378.region001,0.011428947,lichen_193,class-NRP
1731,lichen_193.scaffold_394.region001,0.016129032,lichen_193,class-Polyketide
1732,lichen_193.scaffold_42.region001,0.172703959,lichen_193,class-NRP
1733,lichen_193.scaffold_424.region001,0.010775862,lichen_193,class-Polyketide
1734,lichen_193.scaffold_468.region001,0.025408348,lichen_193,class-Polyketide
1735,lichen_193.scaffold_49.region001,0.046228587,lichen_193,class-Polyketide
1736,lichen_193.scaffold_556.region001,0.015342665,lichen_193,class-Polyketide
1737,lichen_193.scaffold_57.region001,0.049610665,lichen_193,class-Polyketide
1738,lichen_193.scaffold_599.region001,0.071162282,lichen_193,class-NRP
1739,lichen_193.scaffold_61.region001,0.006344915,lichen_193,class-NRP
1740,lichen_193.scaffold_65.region001,0.011945546,lichen_193,class-NRP
1741,lichen_193.scaffold_735.region001,0.0,lichen_193,class-NRP
1742,lichen_193.scaffold_778.region001,1.11e-16,lichen_193,class-NRP
1743,lichen_193.scaffold_80.region001,0.015675862,lichen_193,class-NRP
1744,lichen_193.scaffold_849.region001,0.036827993,lichen_193,class-Polyketide
1745,lichen_193.scaffold_865.region001,0.017123608,lichen_193,class-NRP
1746,lichen_193.scaffold_953.region001,0.056034483,lichen_193,class-Polyketide
1747,lichen_193.scaffold_954.region001,0.007067226,lichen_193,class-NRP
1748,lichen_194.scaffold_113.region001,0.083094556,lichen_194,class-Polyketide
1749,lichen_194.scaffold_128.region001,0.011025995,lichen_194,class-NRP
1750,lichen_194.scaffold_16.region001,0.025822948,lichen_194,class-Polyketide
1751,lichen_194.scaffold_175.region001,0.0,lichen_194,class-NRP
1752,lichen_194.scaffold_186.region001,0.024663677,lichen_194,class-Polyketide
1753,lichen_194.scaffold_206.region001,0.019803941,lichen_194,class-NRP
1754,lichen_194.scaffold_224.region001,0.058991932,lichen_194,class-NRP
1755,lichen_194.scaffold_242.region001,0.162952139,lichen_194,class-NRP
1756,lichen_194.scaffold_278.region001,0.090645472,lichen_194,class-NRP
1757,lichen_194.scaffold_322.region001,0.049012304,lichen_194,class-NRP
1758,lichen_194.scaffold_39.region001,0.026412599,lichen_194,class-Polyketide
1759,lichen_194.scaffold_392.region001,0.021786637,lichen_194,class-Polyketide
1760,lichen_194.scaffold_399.region001,0.006269654,lichen_194,class-NRP
1761,lichen_194.scaffold_40.region001,0.049236576,lichen_194,class-Polyketide
1762,lichen_194.scaffold_42.region001,0.024240109,lichen_194,class-Polyketide
1763,lichen_194.scaffold_47.region001,0.0,lichen_194,class-NRP
1764,lichen_194.scaffold_6.region001,0.092592543,lichen_194,class-Polyketide
1765,lichen_194.scaffold_63.region001,0.018867925,lichen_194,class-Polyketide
1766,lichen_194.scaffold_66.region001,0.091129175,lichen_194,class-NRP
1767,lichen_194.scaffold_68.region001,0.0,lichen_194,class-NRP
1768,lichen_194.scaffold_76.region001,0.010775862,lichen_194,class-Polyketide
1769,lichen_194.scaffold_80.region001,0.119555108,lichen_194,class-NRP
1770,lichen_194.scaffold_84.region001,0.006600732,lichen_194,class-NRP
1771,lichen_194.scaffold_91.region001,0.022470175,lichen_194,class-Polyketide
1772,lichen_194.scaffold_95.region001,0.037304286,lichen_194,class-Polyketide
1773,lichen_198.scaffold_1.region001,0.009646198,lichen_198,class-NRP
1774,lichen_198.scaffold_10.region001,0.036743141,lichen_198,class-Polyketide
1775,lichen_198.scaffold_102.region001,0.0,lichen_198,class-NRP
1776,lichen_198.scaffold_12.region001,0.004638724,lichen_198,class-NRP
1777,lichen_198.scaffold_139.region001,0.021428571,lichen_198,class-Polyketide
1778,lichen_198.scaffold_145.region001,0.023193215,lichen_198,class-Polyketide
1779,lichen_198.scaffold_147.region001,0.022086456,lichen_198,class-Polyketide
1780,lichen_198.scaffold_161.region001,0.044480438,lichen_198,class-NRP
1781,lichen_198.scaffold_17.region001,0.069305337,lichen_198,class-Polyketide
1782,lichen_198.scaffold_178.region001,0.008695652,lichen_198,class-NRP
1783,lichen_198.scaffold_18.region001,0.023391813,lichen_198,class-Polyketide
1784,lichen_198.scaffold_196.region001,0.0,lichen_198,class-Terpene
1785,lichen_198.scaffold_197.region001,0.076086957,lichen_198,class-NRP
1786,lichen_198.scaffold_20.region001,0.011025995,lichen_198,class-NRP
1787,lichen_198.scaffold_22.region001,0.019196959,lichen_198,class-Polyketide
1788,lichen_198.scaffold_244.region001,0.017123608,lichen_198,class-NRP
1789,lichen_198.scaffold_255.region001,0.003020642,lichen_198,class-Polyketide
1790,lichen_198.scaffold_30.region001,0.041686166,lichen_198,class-Polyketide
1791,lichen_198.scaffold_35.region001,0.050565952,lichen_198,class-Polyketide
1792,lichen_198.scaffold_356.region001,0.063946269,lichen_198,class-Polyketide
1793,lichen_198.scaffold_4.region001,0.011111111,lichen_198,class-NRP
1794,lichen_198.scaffold_43.region001,0.006042351,lichen_198,class-NRP
1795,lichen_198.scaffold_45.region001,0.014342784,lichen_198,class-NRP
1796,lichen_198.scaffold_53.region001,0.061427381,lichen_198,class-NRP
1797,lichen_198.scaffold_64.region001,0.106461535,lichen_198,class-Polyketide
1798,lichen_198.scaffold_7.region001,0.037309263,lichen_198,class-NRP
1799,lichen_198.scaffold_72.region001,0.027642276,lichen_198,class-Polyketide
1800,lichen_198.scaffold_74.region001,0.180879617,lichen_198,class-NRP
1801,lichen_198.scaffold_787.region001,0.051159856,lichen_198,class-NRP
1802,lichen_198.scaffold_79.region001,0.014894619,lichen_198,class-Polyketide
1803,lichen_198.scaffold_8.region001,0.020072419,lichen_198,class-NRP
1804,lichen_198.scaffold_802.region001,0.0,lichen_198,class-NRP
1805,lichen_198.scaffold_96.region001,0.034265111,lichen_198,class-Polyketide
1806,lichen_198.scaffold_97.region001,0.093933715,lichen_198,class-Polyketide
1807,lichen_20.scaffold_1.region001,0.110649293,lichen_20,class-NRP
1808,lichen_20.scaffold_1079.region001,0.0,lichen_20,class-NRP
1809,lichen_20.scaffold_1318.region001,0.122343162,lichen_20,class-NRP
1810,lichen_20.scaffold_1319.region001,0.079151948,lichen_20,class-Polyketide
1811,lichen_20.scaffold_1337.region001,1.11e-16,lichen_20,class-Terpene
1812,lichen_20.scaffold_1438.region001,0.057471264,lichen_20,class-NRP
1813,lichen_20.scaffold_1440.region001,0.0,lichen_20,class-Terpene
1814,lichen_20.scaffold_1474.region001,0.0,lichen_20,class-Terpene
1815,lichen_20.scaffold_148.region001,0.029763207,lichen_20,class-Polyketide
1816,lichen_20.scaffold_1586.region001,0.0,lichen_20,class-NRP
1817,lichen_20.scaffold_1697.region001,0.0,lichen_20,class-NRP
1818,lichen_20.scaffold_18.region001,0.082808421,lichen_20,class-NRP
1819,lichen_20.scaffold_186.region001,0.090906963,lichen_20,class-Polyketide
1820,lichen_20.scaffold_1959.region001,0.026315789,lichen_20,class-Polyketide
1821,lichen_20.scaffold_2.region001,0.036375888,lichen_20,class-NRP
1822,lichen_20.scaffold_2024.region001,0.0,lichen_20,class-Terpene
1823,lichen_20.scaffold_2156.region001,0.079684602,lichen_20,class-NRP
1824,lichen_20.scaffold_2310.region001,0.010869565,lichen_20,class-Terpene
1825,lichen_20.scaffold_2439.region001,0.030875815,lichen_20,class-Polyketide
1826,lichen_20.scaffold_246.region001,0.008928571,lichen_20,class-NRP
1827,lichen_20.scaffold_2525.region001,0.018181818,lichen_20,class-Terpene
1828,lichen_20.scaffold_253.region001,0.057971014,lichen_20,class-NRP
1829,lichen_20.scaffold_2618.region001,0.01980198,lichen_20,class-NRP
1830,lichen_20.scaffold_280.region001,0.039799307,lichen_20,class-Polyketide
1831,lichen_20.scaffold_30.region001,0.068003332,lichen_20,class-NRP
1832,lichen_20.scaffold_306.region001,0.160413706,lichen_20,class-Polyketide
1833,lichen_20.scaffold_315.region001,0.041608877,lichen_20,class-Polyketide
1834,lichen_20.scaffold_320.region001,0.0,lichen_20,class-Terpene
1835,lichen_20.scaffold_360.region001,0.054699118,lichen_20,class-Polyketide
1836,lichen_20.scaffold_368.region001,0.026289774,lichen_20,class-Polyketide
1837,lichen_20.scaffold_382.region001,0.034596353,lichen_20,class-Polyketide
1838,lichen_20.scaffold_481.region001,0.036653407,lichen_20,class-Polyketide
1839,lichen_20.scaffold_496.region001,0.047298882,lichen_20,class-NRP
1840,lichen_20.scaffold_536.region001,0.184984714,lichen_20,class-NRP
1841,lichen_20.scaffold_61.region001,0.019267823,lichen_20,class-Polyketide
1842,lichen_20.scaffold_68.region001,0.026366567,lichen_20,class-NRP
1843,lichen_20.scaffold_694.region001,0.019163763,lichen_20,class-Polyketide
1844,lichen_20.scaffold_70.region001,0.039095877,lichen_20,class-Polyketide
1845,lichen_20.scaffold_742.region001,0.0,lichen_20,class-NRP
1846,lichen_20.scaffold_777.region001,0.098257684,lichen_20,class-NRP
1847,lichen_20.scaffold_786.region001,0.33046909,lichen_20,class-NRP
1848,lichen_20.scaffold_859.region001,0.066256703,lichen_20,class-Polyketide
1849,lichen_20.scaffold_887.region001,0.0466471,lichen_20,class-Polyketide
1850,lichen_20.scaffold_948.region001,0.028528529,lichen_20,class-Polyketide
1851,lichen_20.scaffold_978.region001,0.031149542,lichen_20,class-Polyketide
1852,lichen_200.scaffold_140.region001,0.114657707,lichen_200,class-NRP
1853,lichen_203.scaffold_1.region001,0.001890359,lichen_203,class-Polyketide
1854,lichen_203.scaffold_12.region001,0.226616782,lichen_203,class-NRP
1855,lichen_203.scaffold_1206.region001,0.031634446,lichen_203,class-Polyketide
1856,lichen_203.scaffold_123.region001,0.015625,lichen_203,class-Terpene
1857,lichen_203.scaffold_1252.region001,0.018463126,lichen_203,class-NRP
1858,lichen_203.scaffold_128.region001,0.203483546,lichen_203,class-NRP
1859,lichen_203.scaffold_14.region001,0.229346723,lichen_203,class-NRP
1860,lichen_203.scaffold_143.region001,0.086299836,lichen_203,class-NRP
1861,lichen_203.scaffold_1435.region001,0.0,lichen_203,class-Terpene
1862,lichen_203.scaffold_1469.region001,0.047619048,lichen_203,class-NRP
1863,lichen_203.scaffold_178.region001,0.0,lichen_203,class-Terpene
1864,lichen_203.scaffold_198.region001,0.143986787,lichen_203,class-NRP
1865,lichen_203.scaffold_423.region001,0.112135342,lichen_203,class-Terpene
1866,lichen_203.scaffold_521.region001,0.050979741,lichen_203,class-Polyketide
1867,lichen_203.scaffold_594.region001,0.034591888,lichen_203,class-Polyketide
1868,lichen_203.scaffold_643.region001,0.038839855,lichen_203,class-Polyketide
1869,lichen_203.scaffold_69.region001,0.054794521,lichen_203,class-Terpene
1870,lichen_203.scaffold_7.region001,0.120276723,lichen_203,class-NRP
1871,lichen_203.scaffold_702.region001,0.00990099,lichen_203,class-NRP
1872,lichen_203.scaffold_85.region001,0.16913924,lichen_203,class-NRP
1873,lichen_203.scaffold_938.region001,0.077414415,lichen_203,class-Polyketide
1874,lichen_203.scaffold_974.region001,0.0436952,lichen_203,class-Polyketide
1875,lichen_203.scaffold_993.region001,0.0,lichen_203,class-Terpene
1876,lichen_206.scaffold_10.region001,0.001890359,lichen_206,class-Polyketide
1877,lichen_206.scaffold_1090.region001,0.0,lichen_206,class-Terpene
1878,lichen_206.scaffold_1204.region001,0.041017639,lichen_206,class-Polyketide
1879,lichen_206.scaffold_1358.region001,0.035294118,lichen_206,class-Polyketide
1880,lichen_206.scaffold_138.region001,0.2129501,lichen_206,class-NRP
1881,lichen_206.scaffold_154.region001,0.030576309,lichen_206,class-Polyketide
1882,lichen_206.scaffold_174.region001,0.0,lichen_206,class-Terpene
1883,lichen_206.scaffold_196.region001,0.0,lichen_206,class-Terpene
1884,lichen_206.scaffold_200.region001,0.12262092,lichen_206,class-NRP
1885,lichen_206.scaffold_244.region001,0.0,lichen_206,class-Terpene
1886,lichen_206.scaffold_29.region001,0.130161255,lichen_206,class-NRP
1887,lichen_206.scaffold_301.region001,0.265078081,lichen_206,class-NRP
1888,lichen_206.scaffold_310.region001,0.096917114,lichen_206,class-Terpene
1889,lichen_206.scaffold_345.region001,0.114783532,lichen_206,class-NRP
1890,lichen_206.scaffold_43.region001,0.054794521,lichen_206,class-Terpene
1891,lichen_206.scaffold_498.region001,0.038558505,lichen_206,class-NRP
1892,lichen_206.scaffold_582.region001,0.030131369,lichen_206,class-Polyketide
1893,lichen_206.scaffold_700.region001,0.03960396,lichen_206,class-NRP
1894,lichen_206.scaffold_798.region001,0.022314401,lichen_206,class-Polyketide
1895,lichen_206.scaffold_822.region001,0.120060538,lichen_206,class-NRP
1896,lichen_206.scaffold_858.region001,0.101692983,lichen_206,class-Polyketide
1897,lichen_208.scaffold_1.region001,0.0593951,lichen_208,class-NRP
1898,lichen_208.scaffold_1002.region001,0.031365314,lichen_208,class-Polyketide
1899,lichen_208.scaffold_1025.region001,0.013119652,lichen_208,class-Polyketide
1900,lichen_208.scaffold_1072.region001,0.067042337,lichen_208,class-Polyketide
1901,lichen_208.scaffold_1090.region001,0.019810363,lichen_208,class-Polyketide
1902,lichen_208.scaffold_11.region001,0.040583874,lichen_208,class-NRP
1903,lichen_208.scaffold_1137.region001,0.043478261,lichen_208,class-NRP
1904,lichen_208.scaffold_1198.region001,0.180001743,lichen_208,class-NRP
1905,lichen_208.scaffold_1201.region001,0.030159252,lichen_208,class-Polyketide
1906,lichen_208.scaffold_1313.region001,0.140692251,lichen_208,class-NRP
1907,lichen_208.scaffold_141.region001,0.0,lichen_208,class-NRP
1908,lichen_208.scaffold_1538.region001,0.033333333,lichen_208,class-Polyketide
1909,lichen_208.scaffold_162.region001,0.0,lichen_208,class-Terpene
1910,lichen_208.scaffold_1742.region001,0.010989011,lichen_208,class-Polyketide
1911,lichen_208.scaffold_1763.region001,0.01980198,lichen_208,class-NRP
1912,lichen_208.scaffold_18.region001,0.006514727,lichen_208,class-NRP
1913,lichen_208.scaffold_1980.region001,0.072446278,lichen_208,class-NRP
1914,lichen_208.scaffold_1982.region001,0.051589116,lichen_208,class-NRP
1915,lichen_208.scaffold_1985.region001,0.0,lichen_208,class-NRP
1916,lichen_208.scaffold_21.region001,0.026594945,lichen_208,class-Polyketide
1917,lichen_208.scaffold_233.region001,0.07676781,lichen_208,class-NRP
1918,lichen_208.scaffold_310.region001,0.054230841,lichen_208,class-Polyketide
1919,lichen_208.scaffold_34.region001,0.016912557,lichen_208,class-NRP
1920,lichen_208.scaffold_353.region001,0.059859262,lichen_208,class-Polyketide
1921,lichen_208.scaffold_420.region001,0.135728369,lichen_208,class-NRP
1922,lichen_208.scaffold_461.region001,0.044871795,lichen_208,class-NRP
1923,lichen_208.scaffold_491.region001,0.006774414,lichen_208,class-NRP
1924,lichen_208.scaffold_58.region001,0.047506004,lichen_208,class-Polyketide
1925,lichen_208.scaffold_593.region001,0.0045961,lichen_208,class-NRP
1926,lichen_208.scaffold_640.region001,0.019163763,lichen_208,class-Polyketide
1927,lichen_208.scaffold_657.region001,0.057971014,lichen_208,class-NRP
1928,lichen_208.scaffold_7.region001,0.030912576,lichen_208,class-NRP
1929,lichen_208.scaffold_706.region001,0.017256477,lichen_208,class-NRP
1930,lichen_208.scaffold_713.region001,0.0,lichen_208,class-NRP
1931,lichen_208.scaffold_721.region001,0.008928571,lichen_208,class-NRP
1932,lichen_208.scaffold_722.region001,0.01734104,lichen_208,class-Polyketide
1933,lichen_208.scaffold_773.region001,0.170775652,lichen_208,class-Polyketide
1934,lichen_208.scaffold_797.region001,0.075266544,lichen_208,class-NRP
1935,lichen_208.scaffold_83.region001,0.041608877,lichen_208,class-Polyketide
1936,lichen_208.scaffold_852.region001,0.024100577,lichen_208,class-Polyketide
1937,lichen_208.scaffold_897.region001,0.0,lichen_208,class-NRP
1938,lichen_208.scaffold_898.region001,0.040456125,lichen_208,class-Polyketide
1939,lichen_208.scaffold_918.region001,0.0,lichen_208,class-NRP
1940,lichen_208.scaffold_975.region001,0.029032258,lichen_208,class-Polyketide
1941,lichen_209.scaffold_108.region001,0.023267197,lichen_209,class-NRP
1942,lichen_209.scaffold_113.region001,0.062225757,lichen_209,class-Polyketide
1943,lichen_209.scaffold_123.region001,0.015414258,lichen_209,class-Polyketide
1944,lichen_209.scaffold_135.region001,1.11e-16,lichen_209,class-NRP
1945,lichen_209.scaffold_143.region001,0.0,lichen_209,class-NRP
1946,lichen_209.scaffold_17.region001,0.010668645,lichen_209,class-NRP
1947,lichen_209.scaffold_189.region001,0.019171107,lichen_209,class-NRP
1948,lichen_209.scaffold_214.region001,0.077957752,lichen_209,class-NRP
1949,lichen_209.scaffold_27.region001,0.006774414,lichen_209,class-NRP
1950,lichen_209.scaffold_306.region001,0.0,lichen_209,class-NRP
1951,lichen_209.scaffold_340.region001,0.06481323,lichen_209,class-Polyketide
1952,lichen_209.scaffold_399.region001,0.027317176,lichen_209,class-Polyketide
1953,lichen_209.scaffold_425.region001,0.007168551,lichen_209,class-NRP
1954,lichen_209.scaffold_454.region001,0.021978022,lichen_209,class-Polyketide
1955,lichen_209.scaffold_49.region001,0.016744433,lichen_209,class-NRP
1956,lichen_209.scaffold_496.region001,0.023121387,lichen_209,class-Polyketide
1957,lichen_209.scaffold_536.region001,0.162952139,lichen_209,class-NRP
1958,lichen_209.scaffold_55.region001,0.021647809,lichen_209,class-Polyketide
1959,lichen_209.scaffold_576.region001,0.044871795,lichen_209,class-NRP
1960,lichen_209.scaffold_582.region001,0.013186813,lichen_209,class-Polyketide
1961,lichen_209.scaffold_664.region001,0.028985507,lichen_209,class-NRP
1962,lichen_209.scaffold_84.region001,0.058406702,lichen_209,class-NRP
1963,lichen_209.scaffold_99.region001,0.066263599,lichen_209,class-Polyketide
1964,lichen_211.scaffold_102.region001,0.071828345,lichen_211,class-NRP
1965,lichen_211.scaffold_108.region001,0.256894736,lichen_211,class-Polyketide
1966,lichen_211.scaffold_115.region001,0.006269654,lichen_211,class-NRP
1967,lichen_211.scaffold_147.region001,0.037104959,lichen_211,class-Polyketide
1968,lichen_211.scaffold_15.region001,0.006600732,lichen_211,class-NRP
1969,lichen_211.scaffold_21.region001,0.016996372,lichen_211,class-Polyketide
1970,lichen_211.scaffold_212.region001,0.059931412,lichen_211,class-NRP
1971,lichen_211.scaffold_264.region001,0.057971014,lichen_211,class-NRP
1972,lichen_211.scaffold_27.region001,0.18214657,lichen_211,class-NRP
1973,lichen_211.scaffold_276.region001,0.021194605,lichen_211,class-Polyketide
1974,lichen_211.scaffold_51.region001,1.11e-16,lichen_211,class-NRP
1975,lichen_211.scaffold_6.region001,0.016930371,lichen_211,class-NRP
1976,lichen_211.scaffold_79.region001,0.005865153,lichen_211,class-NRP
1977,lichen_211.scaffold_8.region001,0.045133757,lichen_211,class-Polyketide
1978,lichen_211.scaffold_85.region001,0.0,lichen_211,class-NRP
1979,lichen_211.scaffold_86.region001,0.059703914,lichen_211,class-Polyketide
1980,lichen_211.scaffold_95.region001,0.0,lichen_211,class-NRP
1981,lichen_214.scaffold_10.region001,0.0,lichen_214,class-NRP
1982,lichen_214.scaffold_113.region001,0.019148936,lichen_214,class-Polyketide
1983,lichen_214.scaffold_16.region001,0.0,lichen_214,class-Polyketide
1984,lichen_214.scaffold_162.region001,0.028368794,lichen_214,class-Polyketide
1985,lichen_214.scaffold_215.region001,0.076788183,lichen_214,class-NRP
1986,lichen_214.scaffold_224.region001,0.0,lichen_214,class-Terpene
1987,lichen_214.scaffold_26.region001,0.024622409,lichen_214,class-Polyketide
1988,lichen_214.scaffold_267.region001,0.02173913,lichen_214,class-NRP
1989,lichen_214.scaffold_38.region001,0.042807729,lichen_214,class-Polyketide
1990,lichen_214.scaffold_7.region001,0.021483134,lichen_214,class-NRP
1991,lichen_218.scaffold_155.region001,0.006385448,lichen_218,class-NRP
1992,lichen_218.scaffold_161.region001,0.049092782,lichen_218,class-NRP
1993,lichen_218.scaffold_181.region001,0.102654329,lichen_218,class-Polyketide
1994,lichen_218.scaffold_183.region001,0.055226493,lichen_218,class-Polyketide
1995,lichen_218.scaffold_200.region001,0.064060832,lichen_218,class-Polyketide
1996,lichen_218.scaffold_226.region001,0.029530986,lichen_218,class-Polyketide
1997,lichen_218.scaffold_24.region001,0.185679431,lichen_218,class-NRP
1998,lichen_218.scaffold_25.region001,0.011761248,lichen_218,class-NRP
