,BGC,GCF,GCC
5270,CP064754.1.region003.gbk,GCF_141,GCC_58
5271,CP064754.1.region004.gbk,GCF_1243,GCC_45
5272,CP064754.1.region005.gbk,GCF_935,GCC_18
5273,CP064754.1.region006.gbk,GCF_246,GCC_46
5274,CP064754.1.region007.gbk,GCF_652,GCC_28
5275,CP064754.1.region008.gbk,GCF_1071,GCC_3
5276,CP064755.1.region001.gbk,GCF_2351,GCC_4
5277,CP064755.1.region002.gbk,GCF_413,GCC_45
5278,CP064755.1.region003.gbk,GCF_3440,GCC_46
5279,CP064755.1.region004.gbk,GCF_29,GCC_58
5280,CP064755.1.region005.gbk,GCF_622,GCC_58
5281,CP064755.1.region006.gbk,GCF_406,GCC_46
5282,CP064755.1.region007.gbk,GCF_168,GCC_58
5283,CP064755.1.region008.gbk,GCF_551,GCC_58
5284,CP064755.1.region009.gbk,GCF_497,GCC_36
5285,CP064755.1.region010.gbk,GCF_2297,GCC_3
5286,CP064755.1.region011.gbk,GCF_1234,GCC_4
5287,CP064755.1.region012.gbk,GCF_332,GCC_46
5288,CP064756.1.region001.gbk,GCF_211,GCC_4
5289,CP064756.1.region002.gbk,GCF_29,GCC_58
5290,CP064756.1.region003.gbk,GCF_431,GCC_46
5291,CP064756.1.region004.gbk,GCF_833,GCC_4
5292,CP064756.1.region005.gbk,GCF_2233,GCC_4
5293,CP064756.1.region006.gbk,GCF_1222,GCC_45
5294,CP064756.1.region007.gbk,GCF_464,GCC_4
5295,CP064814.1.region001.gbk,GCF_46,GCC_46
5296,CP064815.1.region001.gbk,GCF_2336,GCC_75
5297,CP064815.1.region002.gbk,GCF_1133,GCC_30
5298,CP069102.1.region001.gbk,GCF_2260,GCC_4
5299,CP069102.1.region002.gbk,GCF_875,GCC_12
5300,CP069102.1.region003.gbk,GCF_203,GCC_75
5301,CP069103.1.region001.gbk,GCF_1118,GCC_4
5302,CP069104.1.region001.gbk,GCF_1432,GCC_30
5303,CP069104.1.region002.gbk,GCF_812,GCC_46
5304,CP069104.1.region003.gbk,GCF_4936,GCC_36
5305,CP069105.1.region001.gbk,GCF_697,GCC_46
5306,CP069105.1.region002.gbk,GCF_130,GCC_18
5307,CP069105.1.region003.gbk,GCF_72,GCC_46
5308,CP069107.1.region001.gbk,GCF_1605,GCC_46
5309,CP069109.1.region001.gbk,GCF_1432,GCC_30
5310,CP069109.1.region002.gbk,GCF_21,GCC_46
5311,CP069109.1.region003.gbk,GCF_4936,GCC_36
5312,CP069110.1.region001.gbk,GCF_2274,GCC_4
5313,CP069110.1.region002.gbk,GCF_958,GCC_4
5314,CP069110.1.region003.gbk,GCF_2597,GCC_58
5315,CP069111.1.region001.gbk,GCF_4182,GCC_4
5316,CP069112.1.region001.gbk,GCF_1033,GCC_30
5317,CP069112.1.region002.gbk,GCF_203,GCC_75
5318,CP069114.1.region001.gbk,GCF_2860,GCC_4
5319,CP069114.1.region002.gbk,GCF_29,GCC_58
5320,CP069114.1.region003.gbk,GCF_1118,GCC_4
5321,CP069115.1.region001.gbk,GCF_697,GCC_46
5322,CP069115.1.region002.gbk,GCF_130,GCC_18
5323,CP069115.1.region003.gbk,GCF_72,GCC_46
5324,CP069116.1.region001.gbk,GCF_647,GCC_46
5325,CP069117.1.region001.gbk,GCF_2260,GCC_4
5326,CP069117.1.region002.gbk,GCF_875,GCC_12
5327,CP069118.1.region001.gbk,GCF_2218,GCC_4
5328,CP069118.1.region002.gbk,GCF_1118,GCC_4
5329,CP069119.1.region001.gbk,GCF_1605,GCC_46
5330,CP069120.1.region001.gbk,GCF_72,GCC_46
5331,CP069120.1.region002.gbk,GCF_697,GCC_46
5332,CP069121.1.region001.gbk,GCF_1033,GCC_30
5333,CP069121.1.region002.gbk,GCF_203,GCC_75
5334,CP069122.1.region001.gbk,GCF_4936,GCC_36
5335,CP069122.1.region002.gbk,GCF_812,GCC_46
5336,CP069122.1.region003.gbk,GCF_1432,GCC_30
5337,CP071107.1.region001.gbk,GCF_1002,GCC_4
5338,CP071107.1.region002.gbk,GCF_10,GCC_58
5339,CP071107.1.region003.gbk,GCF_4185,GCC_4
5340,CP071107.1.region004.gbk,GCF_1186,GCC_58
5341,CP071107.1.region005.gbk,GCF_1914,GCC_58
5342,CP071107.1.region006.gbk,GCF_1137,GCC_4
5343,CP071107.1.region007.gbk,GCF_143,GCC_58
5344,CP071107.1.region008.gbk,GCF_91,GCC_45
5345,CP071107.1.region009.gbk,GCF_1245,GCC_58
5346,CP071107.1.region010.gbk,GCF_29,GCC_58
5347,CP071108.1.region001.gbk,GCF_1220,GCC_4
5348,CP071108.1.region002.gbk,GCF_663,GCC_46
5349,CP071108.1.region003.gbk,GCF_1154,GCC_36
5350,CP071108.1.region004.gbk,GCF_222,GCC_75
5351,CP071108.1.region005.gbk,GCF_1668,GCC_4
5352,CP071108.1.region006.gbk,GCF_2427,GCC_4
5353,CP071108.1.region007.gbk,GCF_450,GCC_4
5354,CP071108.1.region008.gbk,GCF_634,GCC_46
5355,CP071109.1.region001.gbk,GCF_1837,GCC_4
5356,CP071109.1.region002.gbk,GCF_4888,GCC_4
5357,CP071109.1.region003.gbk,GCF_8,GCC_3
5358,CP071109.1.region004.gbk,GCF_2028,GCC_46
5359,CP071109.1.region005.gbk,GCF_2265,GCC_45
5360,CP071109.1.region006.gbk,GCF_413,GCC_45
5361,CP071109.1.region007.gbk,GCF_1214,GCC_46
5362,CP071109.1.region008.gbk,GCF_581,GCC_46
5363,CP071109.1.region009.gbk,GCF_2996,GCC_45
5364,CP071109.1.region010.gbk,GCF_143,GCC_58
5365,CP071109.1.region011.gbk,GCF_4625,GCC_4
5366,CP071109.1.region012.gbk,GCF_1205,GCC_58
5367,CP071109.1.region013.gbk,GCF_2804,GCC_4
5368,CP071110.1.region001.gbk,GCF_10,GCC_58
5369,CP071110.1.region002.gbk,GCF_237,GCC_4
5370,CP071110.1.region003.gbk,GCF_4850,GCC_46
5371,CP071110.1.region004.gbk,GCF_477,GCC_45
5372,CP071111.1.region001.gbk,GCF_4131,GCC_46
5373,CP071111.1.region002.gbk,GCF_143,GCC_58
5374,CP071111.1.region003.gbk,GCF_987,GCC_58
5375,CP071111.1.region004.gbk,GCF_3753,GCC_4
5376,CP071112.1.region001.gbk,GCF_29,GCC_58
5377,CP071112.1.region002.gbk,GCF_38,GCC_58
5378,CP071112.1.region003.gbk,GCF_785,GCC_28
5379,CP071112.1.region004.gbk,GCF_315,GCC_4
5380,CP071112.1.region005.gbk,GCF_610,GCC_46
5381,CP071112.1.region006.gbk,GCF_1564,GCC_4
5382,CP071112.1.region007.gbk,GCF_2549,GCC_45
5383,CP071112.1.region008.gbk,GCF_677,GCC_58
5384,CP071112.1.region009.gbk,GCF_1158,GCC_58
5385,CP071112.1.region010.gbk,GCF_555,GCC_4
5386,CP071113.1.region001.gbk,GCF_212,GCC_58
5387,CP071113.1.region002.gbk,GCF_2887,GCC_45
5388,CP071113.1.region003.gbk,GCF_741,GCC_46
5389,CP071113.1.region004.gbk,GCF_2182,GCC_4
5390,CP071113.1.region005.gbk,GCF_778,GCC_46
5391,CP071113.1.region006.gbk,GCF_29,GCC_58
5392,CP071115.1.region001.gbk,GCF_1002,GCC_4
5393,CP071115.1.region002.gbk,GCF_10,GCC_58
5394,CP071115.1.region003.gbk,GCF_559,GCC_4
5395,CP071115.1.region004.gbk,GCF_1186,GCC_58
5396,CP071115.1.region005.gbk,GCF_1914,GCC_58
5397,CP071115.1.region006.gbk,GCF_1137,GCC_4
5398,CP071115.1.region007.gbk,GCF_143,GCC_58
5399,CP071115.1.region008.gbk,GCF_91,GCC_45
5400,CP071115.1.region009.gbk,GCF_1245,GCC_58
5401,CP071115.1.region010.gbk,GCF_29,GCC_58
5402,CP071116.1.region001.gbk,GCF_1220,GCC_4
5403,CP071116.1.region002.gbk,GCF_663,GCC_46
5404,CP071116.1.region003.gbk,GCF_1154,GCC_36
5405,CP071116.1.region004.gbk,GCF_222,GCC_75
5406,CP071116.1.region005.gbk,GCF_1668,GCC_4
5407,CP071116.1.region006.gbk,GCF_2427,GCC_4
5408,CP071116.1.region007.gbk,GCF_450,GCC_4
5409,CP071117.1.region001.gbk,GCF_1837,GCC_4
5410,CP071117.1.region002.gbk,GCF_3079,GCC_4
5411,CP071117.1.region003.gbk,GCF_8,GCC_3
5412,CP071117.1.region004.gbk,GCF_2028,GCC_46
5413,CP071117.1.region005.gbk,GCF_2265,GCC_45
5414,CP071117.1.region006.gbk,GCF_413,GCC_45
5415,CP071117.1.region007.gbk,GCF_1214,GCC_46
5416,CP071117.1.region008.gbk,GCF_581,GCC_46
5417,CP071117.1.region009.gbk,GCF_2996,GCC_45
5418,CP071117.1.region010.gbk,GCF_143,GCC_58
5419,CP071117.1.region011.gbk,GCF_4197,GCC_4
5420,CP071117.1.region012.gbk,GCF_1205,GCC_58
5421,CP071117.1.region013.gbk,GCF_2804,GCC_4
5422,CP071118.1.region001.gbk,GCF_10,GCC_58
5423,CP071118.1.region002.gbk,GCF_237,GCC_4
5424,CP071118.1.region003.gbk,GCF_477,GCC_45
5425,CP071119.1.region001.gbk,GCF_143,GCC_58
5426,CP071119.1.region002.gbk,GCF_398,GCC_46
5427,CP071119.1.region003.gbk,GCF_143,GCC_58
5428,CP071119.1.region004.gbk,GCF_2704,GCC_58
5429,CP071119.1.region005.gbk,GCF_960,GCC_58
5430,CP071119.1.region006.gbk,GCF_4377,GCC_4
5431,CP071120.1.region001.gbk,GCF_38,GCC_58
5432,CP071120.1.region002.gbk,GCF_785,GCC_28
5433,CP071120.1.region003.gbk,GCF_315,GCC_4
5434,CP071120.1.region004.gbk,GCF_610,GCC_46
5435,CP071120.1.region005.gbk,GCF_1564,GCC_4
5436,CP071120.1.region006.gbk,GCF_4488,GCC_58
5437,CP071120.1.region007.gbk,GCF_4918,GCC_58
5438,CP071120.1.region008.gbk,GCF_555,GCC_4
5439,CP071120.1.region009.gbk,GCF_29,GCC_58
5440,CP071121.1.region001.gbk,GCF_212,GCC_58
5441,CP071121.1.region002.gbk,GCF_2887,GCC_45
5442,CP071121.1.region003.gbk,GCF_741,GCC_46
5443,CP071121.1.region004.gbk,GCF_4754,GCC_4
5444,CP071121.1.region005.gbk,GCF_778,GCC_46
5445,CP071121.1.region006.gbk,GCF_29,GCC_58
5446,CP072753.1.region001.gbk,GCF_25,GCC_4
5447,CP072753.1.region002.gbk,GCF_540,GCC_58
5448,CP072753.1.region003.gbk,GCF_891,GCC_75
5449,CP072753.1.region004.gbk,GCF_189,GCC_58
5450,CP072754.1.region001.gbk,GCF_4195,GCC_4
5451,CP072754.1.region002.gbk,GCF_143,GCC_58
5452,CP072754.1.region003.gbk,GCF_289,GCC_58
5453,CP072755.1.region001.gbk,GCF_3790,GCC_46
5454,CP072755.1.region002.gbk,GCF_21,GCC_46
5455,CP072756.1.region001.gbk,GCF_1414,GCC_33
5456,CP072756.1.region002.gbk,GCF_1395,GCC_4
5457,CP072756.1.region003.gbk,GCF_315,GCC_4
5458,CP072756.1.region004.gbk,GCF_211,GCC_4
5459,CP072756.1.region005.gbk,GCF_142,GCC_4
5460,CP072756.1.region006.gbk,GCF_4711,GCC_46
5461,CP072757.1.region001.gbk,GCF_4207,GCC_6
5462,CP072757.1.region002.gbk,GCF_3362,GCC_36
5463,CP072757.1.region003.gbk,GCF_3817,GCC_46
5464,CP072757.1.region004.gbk,GCF_1156,GCC_30
5465,CP072758.1.region001.gbk,GCF_1154,GCC_36
5466,CP072758.1.region002.gbk,GCF_3200,GCC_4
5467,CP072758.1.region003.gbk,GCF_143,GCC_58
5468,CP072759.1.region001.gbk,GCF_1861,GCC_4
5469,CP075068.1.region001.gbk,GCF_1026,GCC_58
5470,CP075068.1.region002.gbk,GCF_143,GCC_58
5471,CP075068.1.region003.gbk,GCF_1770,GCC_4
5472,CP075068.1.region004.gbk,GCF_2280,GCC_27
5473,CP075068.1.region005.gbk,GCF_259,GCC_46
5474,CP075068.1.region006.gbk,GCF_706,GCC_4
5475,CP075068.1.region007.gbk,GCF_1600,GCC_4
5476,CP075068.1.region008.gbk,GCF_29,GCC_58
5477,CP075069.1.region001.gbk,GCF_357,GCC_4
5478,CP075069.1.region002.gbk,GCF_868,GCC_58
5479,CP075069.1.region003.gbk,GCF_130,GCC_18
5480,CP075069.1.region004.gbk,GCF_895,GCC_58
5481,CP075069.1.region005.gbk,GCF_1389,GCC_75
5482,CP075069.1.region006.gbk,GCF_1196,GCC_58
5483,CP075070.1.region001.gbk,GCF_4936,GCC_36
5484,CP075070.1.region002.gbk,GCF_936,GCC_30
5485,CP075070.1.region003.gbk,GCF_10,GCC_58
5486,CP075070.1.region004.gbk,GCF_416,GCC_58
5487,CP075070.1.region005.gbk,GCF_4946,GCC_4
5488,CP075071.1.region001.gbk,GCF_646,GCC_46
5489,CP075071.1.region002.gbk,GCF_2468,GCC_36
5490,CP075071.1.region003.gbk,GCF_4382,GCC_58
5491,CP075072.1.region001.gbk,GCF_2355,GCC_46
5492,CP075864.1.region001.gbk,GCF_4087,GCC_58
5493,CP075864.1.region002.gbk,GCF_2327,GCC_58
5494,CP075864.1.region003.gbk,GCF_141,GCC_58
5495,CP075864.1.region004.gbk,GCF_91,GCC_45
5496,CP075864.1.region005.gbk,GCF_143,GCC_58
5497,CP075864.1.region006.gbk,GCF_1914,GCC_58
5498,CP075864.1.region007.gbk,GCF_1186,GCC_58
5499,CP075864.1.region008.gbk,GCF_559,GCC_4
5500,CP075865.1.region001.gbk,GCF_4447,GCC_2
5501,CP075865.1.region002.gbk,GCF_634,GCC_46
5502,CP075865.1.region003.gbk,GCF_10,GCC_58
5503,CP075865.1.region004.gbk,GCF_450,GCC_4
5504,CP075865.1.region005.gbk,GCF_3395,GCC_4
5505,CP075865.1.region006.gbk,GCF_289,GCC_58
5506,CP075865.1.region007.gbk,GCF_4585,GCC_4
5507,CP075865.1.region008.gbk,GCF_4072,GCC_5
5508,CP075865.1.region009.gbk,GCF_4508,GCC_58
5509,CP075865.1.region010.gbk,GCF_2268,GCC_58
5510,CP075865.1.region011.gbk,GCF_222,GCC_75
5511,CP075865.1.region012.gbk,GCF_1154,GCC_36
5512,CP075865.1.region013.gbk,GCF_29,GCC_58
5513,CP075865.1.region014.gbk,GCF_782,GCC_4
5514,CP075866.1.region001.gbk,GCF_4973,GCC_4
5515,CP075866.1.region002.gbk,GCF_2028,GCC_46
5516,CP075866.1.region003.gbk,GCF_8,GCC_3
5517,CP075866.1.region004.gbk,GCF_413,GCC_45
5518,CP075866.1.region005.gbk,GCF_4267,GCC_46
5519,CP075866.1.region006.gbk,GCF_3352,GCC_4
5520,CP075866.1.region007.gbk,GCF_143,GCC_58
5521,CP075866.1.region008.gbk,GCF_2996,GCC_45
5522,CP075866.1.region009.gbk,GCF_143,GCC_58
5523,CP075866.1.region010.gbk,GCF_2748,GCC_58
5524,CP075866.1.region011.gbk,GCF_4833,GCC_4
5525,CP075867.1.region001.gbk,GCF_3149,GCC_4
5526,CP075867.1.region002.gbk,GCF_960,GCC_58
5527,CP075867.1.region003.gbk,GCF_987,GCC_58
5528,CP075867.1.region004.gbk,GCF_143,GCC_58
5529,CP075867.1.region005.gbk,GCF_2216,GCC_46
5530,CP075867.1.region006.gbk,GCF_398,GCC_46
5531,CP075867.1.region007.gbk,GCF_4968,GCC_4
5532,CP075868.1.region001.gbk,GCF_10,GCC_58
5533,CP075868.1.region002.gbk,GCF_18,GCC_58
5534,CP075868.1.region003.gbk,GCF_2857,GCC_46
5535,CP075868.1.region004.gbk,GCF_2853,GCC_4
5536,CP075869.1.region001.gbk,GCF_38,GCC_58
5537,CP075869.1.region002.gbk,GCF_128,GCC_45
5538,CP075869.1.region003.gbk,GCF_785,GCC_28
5539,CP075869.1.region004.gbk,GCF_315,GCC_4
5540,CP075869.1.region005.gbk,GCF_610,GCC_46
5541,CP075869.1.region006.gbk,GCF_4246,GCC_4
5542,CP075869.1.region007.gbk,GCF_2549,GCC_45
5543,CP075869.1.region008.gbk,GCF_677,GCC_58
5544,CP075869.1.region009.gbk,GCF_1158,GCC_58
5545,CP075870.1.region001.gbk,GCF_2711,GCC_4
5546,CP075870.1.region002.gbk,GCF_212,GCC_58
5547,CP075870.1.region003.gbk,GCF_10,GCC_58
5548,CP075870.1.region004.gbk,GCF_3404,GCC_45
5549,CP075870.1.region005.gbk,GCF_211,GCC_4
5550,CP075870.1.region006.gbk,GCF_2993,GCC_46
5551,CP075870.1.region007.gbk,GCF_4696,GCC_58
5552,CP075870.1.region008.gbk,GCF_29,GCC_58
5553,CP076661.1.region001.gbk,GCF_1915,GCC_46
5554,CP076666.1.region001.gbk,GCF_893,GCC_75
5555,CP076749.1.region001.gbk,GCF_694,GCC_75
5556,CP076749.1.region002.gbk,GCF_1915,GCC_46
5557,CP076753.1.region001.gbk,GCF_893,GCC_75
5558,CP084935.1.region001.gbk,GCF_3379,GCC_46
5559,CP084935.1.region002.gbk,GCF_1267,GCC_46
5560,CP084935.1.region003.gbk,GCF_143,GCC_58
5561,CP084935.1.region004.gbk,GCF_1481,GCC_45
5562,CP084935.1.region005.gbk,GCF_29,GCC_58
5563,CP084935.1.region006.gbk,GCF_2497,GCC_46
5564,CP084935.1.region007.gbk,GCF_2075,GCC_46
5565,CP084936.1.region001.gbk,GCF_160,GCC_46
5566,CP084936.1.region002.gbk,GCF_2072,GCC_46
5567,CP084936.1.region003.gbk,GCF_2182,GCC_4
5568,CP084936.1.region004.gbk,GCF_1791,GCC_4
5569,CP084936.1.region005.gbk,GCF_413,GCC_45
5570,CP084936.1.region006.gbk,GCF_49,GCC_58
5571,CP084937.1.region001.gbk,GCF_1073,GCC_4
5572,CP084937.1.region002.gbk,GCF_743,GCC_28
5573,CP084937.1.region003.gbk,GCF_222,GCC_75
5574,CP084937.1.region004.gbk,GCF_87,GCC_36
5575,CP084937.1.region005.gbk,GCF_171,GCC_4
5576,CP084938.1.region001.gbk,GCF_1112,GCC_4
5577,CP084938.1.region002.gbk,GCF_274,GCC_58
5578,CP084938.1.region003.gbk,GCF_2637,GCC_19
5579,CP084938.1.region004.gbk,GCF_2266,GCC_46
5580,CP084938.1.region005.gbk,GCF_416,GCC_58
5581,CP084938.1.region006.gbk,GCF_1183,GCC_4
5582,CP084939.1.region001.gbk,GCF_3512,GCC_45
5583,CP084939.1.region002.gbk,GCF_791,GCC_3
5584,CP084939.1.region003.gbk,GCF_21,GCC_46
5585,CP084939.1.region004.gbk,GCF_3398,GCC_46
5586,CP084939.1.region005.gbk,GCF_143,GCC_58
5587,CP084939.1.region006.gbk,GCF_1680,GCC_3
5588,CP084939.1.region007.gbk,GCF_143,GCC_58
5589,CP084939.1.region008.gbk,GCF_29,GCC_58
5590,CP084939.1.region009.gbk,GCF_2894,GCC_58
5591,CP084940.1.region001.gbk,GCF_444,GCC_58
5592,CP084941.1.region001.gbk,GCF_987,GCC_58
5593,CP084941.1.region002.gbk,GCF_143,GCC_58
5594,CP084941.1.region003.gbk,GCF_315,GCC_4
5595,CP084941.1.region004.gbk,GCF_1044,GCC_4
5596,CP084941.1.region005.gbk,GCF_558,GCC_4
5597,CP084941.1.region006.gbk,GCF_4468,GCC_58
5598,CP084943.1.region001.gbk,GCF_3392,GCC_4
5599,CP084943.1.region002.gbk,GCF_10,GCC_58
5600,CP084943.1.region003.gbk,GCF_2677,GCC_46
5601,CP084943.1.region004.gbk,GCF_4310,GCC_46
5602,CP084943.1.region005.gbk,GCF_29,GCC_58
5603,CP084943.1.region006.gbk,GCF_3134,GCC_45
5604,CP084943.1.region007.gbk,GCF_143,GCC_58
5605,CP084943.1.region008.gbk,GCF_3071,GCC_46
5606,CP084943.1.region009.gbk,GCF_2216,GCC_46
5607,CP084944.1.region001.gbk,GCF_3736,GCC_4
5608,CP084944.1.region002.gbk,GCF_2266,GCC_46
5609,CP084944.1.region003.gbk,GCF_1791,GCC_4
5610,CP084944.1.region004.gbk,GCF_413,GCC_45
5611,CP084944.1.region005.gbk,GCF_2028,GCC_46
5612,CP084944.1.region006.gbk,GCF_212,GCC_58
5613,CP084945.1.region001.gbk,GCF_4984,GCC_4
5614,CP084945.1.region002.gbk,GCF_1435,GCC_41
5615,CP084945.1.region003.gbk,GCF_743,GCC_28
5616,CP084945.1.region004.gbk,GCF_222,GCC_75
5617,CP084945.1.region005.gbk,GCF_87,GCC_36
5618,CP084945.1.region006.gbk,GCF_4801,GCC_4
5619,CP084945.1.region007.gbk,GCF_4824,GCC_58
5620,CP084946.1.region001.gbk,GCF_1335,GCC_46
5621,CP084946.1.region002.gbk,GCF_2072,GCC_46
5622,CP084946.1.region003.gbk,GCF_2182,GCC_4
5623,CP084946.1.region004.gbk,GCF_1112,GCC_4
5624,CP084947.1.region001.gbk,GCF_3367,GCC_4
5625,CP084947.1.region002.gbk,GCF_3507,GCC_4
5626,CP084947.1.region003.gbk,GCF_444,GCC_58
5627,CP084947.1.region004.gbk,GCF_1657,GCC_30
5628,CP084947.1.region005.gbk,GCF_29,GCC_58
5629,CP084948.1.region001.gbk,GCF_18,GCC_58
5630,CP084948.1.region002.gbk,GCF_558,GCC_4
5631,CP084948.1.region003.gbk,GCF_1044,GCC_4
5632,CP084948.1.region004.gbk,GCF_315,GCC_4
5633,CP084948.1.region005.gbk,GCF_143,GCC_58
5634,CP084948.1.region006.gbk,GCF_987,GCC_58
5635,CP084948.1.region007.gbk,GCF_4398,GCC_58
5636,CP084948.1.region008.gbk,GCF_18,GCC_58
5637,CP084949.1.region001.gbk,GCF_154,GCC_36
5638,CP084949.1.region002.gbk,GCF_143,GCC_58
5639,CP084949.1.region003.gbk,GCF_3115,GCC_3
5640,CP084949.1.region004.gbk,GCF_2657,GCC_46
5641,CP084949.1.region005.gbk,GCF_1680,GCC_3
5642,CP084949.1.region006.gbk,GCF_143,GCC_58
5643,CP084949.1.region007.gbk,GCF_3398,GCC_46
5644,CP084949.1.region008.gbk,GCF_2668,GCC_4
5645,CP084949.1.region009.gbk,GCF_791,GCC_3
5646,CP084949.1.region010.gbk,GCF_4556,GCC_4
5647,CP086354.1.region001.gbk,GCF_4950,GCC_46
5648,CP086354.1.region002.gbk,GCF_1933,GCC_4
5649,CP086355.1.region001.gbk,GCF_3587,GCC_33
5650,CP086355.1.region002.gbk,GCF_66,GCC_36
5651,CP086355.1.region003.gbk,GCF_4241,GCC_4
5652,CP086355.1.region004.gbk,GCF_4336,GCC_58
5653,CP086355.1.region005.gbk,GCF_315,GCC_4
5654,CP086355.1.region006.gbk,GCF_189,GCC_58
5655,CP086356.1.region001.gbk,GCF_1444,GCC_46
5656,CP086356.1.region002.gbk,GCF_4727,GCC_4
5657,CP086356.1.region003.gbk,GCF_4198,GCC_58
5658,CP086357.1.region001.gbk,GCF_4852,GCC_4
5659,CP086357.1.region002.gbk,GCF_4790,GCC_58
5660,CP086357.1.region003.gbk,GCF_3198,GCC_58
5661,CP086357.1.region004.gbk,GCF_10,GCC_58
5662,CP086358.1.region001.gbk,GCF_3117,GCC_46
5663,CP086358.1.region002.gbk,GCF_4883,GCC_58
5664,CP086358.1.region003.gbk,GCF_3519,GCC_66
5665,CP086359.1.region001.gbk,GCF_295,GCC_58
5666,CP086359.1.region002.gbk,GCF_87,GCC_36
5667,CP086361.1.region001.gbk,GCF_2707,GCC_3
5668,CP086361.1.region002.gbk,GCF_4601,GCC_4
5669,CP086361.1.region003.gbk,GCF_1013,GCC_30
5670,CP086361.1.region004.gbk,GCF_39,GCC_4
5671,CP086362.1.region001.gbk,GCF_222,GCC_75
5672,CP086363.1.region001.gbk,GCF_1446,GCC_4
5673,CP086363.1.region002.gbk,GCF_540,GCC_58
5674,CP086363.1.region003.gbk,GCF_143,GCC_58
5675,CP086364.1.region001.gbk,GCF_18,GCC_58
5676,CP086365.1.region001.gbk,GCF_3901,GCC_58
5677,CP086366.1.region001.gbk,GCF_3091,GCC_27
5678,CP086367.1.region001.gbk,GCF_4629,GCC_3
5679,CP089274.1.region001.gbk,GCF_2478,GCC_45
5680,CP089274.1.region002.gbk,GCF_288,GCC_30
5681,CP089274.1.region003.gbk,GCF_18,GCC_58
5682,CP089274.1.region004.gbk,GCF_1109,GCC_4
5683,CP089274.1.region005.gbk,GCF_3588,GCC_46
5684,CP089275.1.region001.gbk,GCF_29,GCC_58
5685,CP089275.1.region002.gbk,GCF_129,GCC_58
5686,CP089275.1.region003.gbk,GCF_25,GCC_4
5687,CP089275.1.region004.gbk,GCF_1502,GCC_45
5688,CP089275.1.region005.gbk,GCF_29,GCC_58
5689,CP089275.1.region006.gbk,GCF_4137,GCC_46
5690,CP089275.1.region007.gbk,GCF_615,GCC_58
5691,CP089275.1.region008.gbk,GCF_4420,GCC_4
5692,CP089276.1.region001.gbk,GCF_2833,GCC_19
5693,CP089276.1.region002.gbk,GCF_2950,GCC_45
5694,CP089276.1.region003.gbk,GCF_4876,GCC_58
5695,CP089276.1.region004.gbk,GCF_240,GCC_58
5696,CP089277.1.region001.gbk,GCF_3517,GCC_46
5697,CP089277.1.region002.gbk,GCF_488,GCC_58
5698,CP089277.1.region003.gbk,GCF_3092,GCC_45
5699,CP089277.1.region004.gbk,GCF_269,GCC_58
5700,CP089277.1.region005.gbk,GCF_2725,GCC_27
5701,CP089277.1.region006.gbk,GCF_29,GCC_58
5702,CP089277.1.region007.gbk,GCF_291,GCC_4
5703,CP089278.1.region001.gbk,GCF_4606,GCC_46
5704,CP089278.1.region002.gbk,GCF_1332,GCC_46
5705,CP089278.1.region003.gbk,GCF_29,GCC_58
5706,CP089279.1.region001.gbk,GCF_3725,GCC_4
5707,CP089279.1.region002.gbk,GCF_3421,GCC_46
5708,CP089280.1.region001.gbk,GCF_3710,GCC_58
5709,CP089280.1.region002.gbk,GCF_87,GCC_36
5710,CP089280.1.region003.gbk,GCF_795,GCC_4
5711,CP089281.1.region001.gbk,GCF_143,GCC_58
5712,CP089281.1.region002.gbk,GCF_2010,GCC_75
5713,CP089281.1.region003.gbk,GCF_1161,GCC_75
5714,CP089281.1.region004.gbk,GCF_3965,GCC_58
5715,CP089281.1.region005.gbk,GCF_10,GCC_58
5716,CP090030.1.region001.gbk,GCF_669,GCC_46
5717,CP090031.1.region001.gbk,GCF_575,GCC_58
5718,CP090031.1.region002.gbk,GCF_423,GCC_58
5719,CP090031.1.region003.gbk,GCF_2341,GCC_27
5720,CP090031.1.region004.gbk,GCF_143,GCC_58
5721,CP090032.1.region001.gbk,GCF_29,GCC_58
5722,CP090032.1.region002.gbk,GCF_2840,GCC_19
5723,CP090032.1.region003.gbk,GCF_29,GCC_58
5724,CP090032.1.region004.gbk,GCF_4562,GCC_4
5725,CP090032.1.region005.gbk,GCF_2499,GCC_4
5726,CP090033.1.region001.gbk,GCF_288,GCC_30
5727,CP090033.1.region002.gbk,GCF_3001,GCC_53
5728,CP090033.1.region003.gbk,GCF_315,GCC_4
5729,CP090034.1.region001.gbk,GCF_4615,GCC_4
5730,CP090034.1.region002.gbk,GCF_1003,GCC_4
5731,CP090034.1.region003.gbk,GCF_143,GCC_58
5732,CP090035.1.region001.gbk,GCF_211,GCC_4
5733,CP090035.1.region002.gbk,GCF_21,GCC_46
5734,CP090035.1.region003.gbk,GCF_1230,GCC_58
5735,CP090035.1.region004.gbk,GCF_1785,GCC_4
5736,CP090035.1.region005.gbk,GCF_4240,GCC_58
5737,CP090036.1.region001.gbk,GCF_357,GCC_4
5738,CP090036.1.region002.gbk,GCF_29,GCC_58
5739,CP090036.1.region003.gbk,GCF_1592,GCC_75
5740,CP090036.1.region004.gbk,GCF_413,GCC_45
5741,CP090037.1.region001.gbk,GCF_29,GCC_58
5742,CP090037.1.region002.gbk,GCF_328,GCC_4
5743,CP090037.1.region003.gbk,GCF_642,GCC_46
